m,x,y,z,vx,vy,vz,ax,ay,az
2e+30,2.1269e+13,-3.88735e+13,2.91748e+13,167793,177914,169292,-1.40275e-05,7.00803e-05,-4.02717e-05
2e+30,3.63669e+13,3.42432e+13,-2.33584e+13,-34389.2,-34639.2,79931.4,-6.00513e-05,-6.32632e-05,3.59711e-05
2e+30,1.82417e+13,1.89105e+13,4.68418e+13,93021.1,100646,164813,-2.9325e-05,-6.18086e-05,-6.07745e-05
2e+30,-3.21477e+12,-4.91179e+13,-3.32496e+13,124879,133650,100206,-2.02824e-06,6.02372e-05,4.03797e-05
2e+30,4.17022e+13,3.25363e+13,-9.107e+12,168026,174830,73621.4,-5.46045e-05,-4.29185e-05,5.67337e-06
2e+30,-3.25049e+13,2.73271e+13,8.00896e+12,178725,169137,-17348.4,4.53952e-05,-5.35337e-05,-4.66592e-05
2e+30,2.23313e+13,-3.76469e+13,3.19104e+13,91112.1,63250.2,-100354,-3.28031e-05,7.02412e-05,-6.09771e-05
2e+30,1.79326e+13,1.69298e+13,4.76245e+13,96943.4,98601.1,-168602,-1.87845e-05,-1.67692e-05,-8.63437e-05
2e+30,-2.57401e+13,-2.53214e+13,4.37652e+13,73759.6,74614,-62547.2,3.5593e-05,2.78622e-05,-7.32209e-05
2e+30,4.58993e+13,4.42318e+13,-4.52786e+13,166990,169068,-166658,-6.22971e-05,-6.58301e-05,3.96038e-05
2e+30,-4.48077e+13,2.73234e+13,-3.40551e+13,222381,135719,148175,6.89661e-05,-3.69513e-05,4.2765e-05
2e+30,3.31853e+13,3.69844e+13,-2.87674e+12,-1282.55,163888,122906,-3.13751e-05,-5.98735e-05,-9.22496e-06
2e+30,-4.07311e+13,5.85822e+12,-2.86973e+13,64952.5,125439,175238,5.72289e-05,-8.0165e-06,5.17456e-05
2e+30,3.96093e+13,3.61862e+13,1.70686e+13,-2462.12,198758,295719,-6.71365e-05,-6.66701e-05,-5.44315e-05
2e+30,-3.66028e+13,-4.14685e+13,-3.0908e+13,-6.85587e+07,7.96536e+07,8.30944e+06,3.99962e-05,7.2334e-05,4.53121e-05
2e+30,1.29308e+13,-1.03246e+13,1.01644e+13,-4.74067e+07,4.30563e+07,-4.40223e+06,-1.81117e-05,3.59076e-06,-4.00673e-05
2e+30,-2.59988e+13,-4.0928e+13,-1.38055e+13,114706,134339,-160678,5.23506e-05,5.13646e-05,1.5883e-05
2e+30,2.21289e+13,1.04847e+13,3.34229e+13,93713.2,123580,-171033,-3.85094e-05,-1.83156e-05,-7.78955e-05
2e+30,3.99862e+13,4.03896e+13,2.05238e+13,132033,90299,-116784,-6.01744e-05,-6.40951e-05,-4.21063e-05
