m,x,y,z,vx,vy,vz,ax,ay,az
2e+30,-4.2849e+12,8.14411e+12,-1.50986e+12,166321,182677,167603,1.10052e-05,-1.43039e-05,-4.25519e-06
2e+30,-3.84328e+12,-2.84611e+12,2.89474e+13,55896.1,57706.1,75096.5,3.29422e-06,4.00997e-06,-4.24586e-05
2e+30,3.74557e+13,3.58784e+13,1.73217e+13,92487.8,87012.7,164473,4.22987e-05,-0.000203108,3.72404e-06
2e+30,-4.31388e+13,-2.83317e+13,-3.05392e+13,115457,139257,96260.6,9.37451e-05,5.03576e-05,4.57932e-05
2e+30,5.25462e+12,-2.66248e+12,-4.18202e+13,174933,167277,59519.4,1.35573e-05,1.41362e-05,4.83282e-05
2e+30,1.16344e+13,-2.98216e+12,-1.46658e+11,185206,167270,16479.3,-1.08726e-05,1.91663e-06,3.94873e-06
2e+30,4.18548e+13,2.69371e+13,3.09825e+13,87361.3,74587.3,-97571.5,-8.81831e-05,-5.79614e-05,-5.26056e-05
2e+30,3.75339e+13,3.72419e+13,-1.70602e+13,87151,87368.8,-164344,-7.10751e-05,-7.83171e-05,3.20967e-05
2e+30,2.67273e+13,2.57353e+13,-2.80477e+13,87964.7,89163.7,-69837.5,-7.10262e-05,-6.17379e-05,8.54935e-05
2e+30,4.41252e+12,3.64363e+12,-4.36363e+12,176197,175692,-178603,-1.93803e-05,-7.34406e-07,6.74097e-06
2e+30,1.27458e+13,-3.89142e+13,-3.35737e+13,227820,128087,153264,5.31059e-07,9.17701e-05,7.18539e-05
2e+30,-2.59371e+13,-2.64481e+12,-3.86945e+13,29892.6,175201,117625,3.19974e-05,3.44259e-06,5.80922e-05
2e+30,2.02367e+13,-3.4137e+13,3.02361e+13,76143.9,118022,173223,-3.27718e-05,7.21187e-05,-6.58151e-05
2e+30,-3.00048e+13,3.7272e+13,3.34357e+13,34826.9,199290,295950,3.45999e-05,-7.63025e-05,-8.01844e-05
2e+30,1.20678e+13,4.98755e+12,-3.40516e+13,-6.85565e+07,7.96525e+07,8.30758e+06,-3.14205e-05,1.00686e-05,5.8636e-05
2e+30,5.54067e+12,-1.2493e+13,1.37822e+12,-4.74074e+07,4.30557e+07,-4.40284e+06,-3.50425e-06,1.65238e-05,-7.93193e-06
