m,x,y,z,vx,vy,vz,ax,ay,az
2e+30,-4.96057e+13,-4.96057e+13,-4.96057e+13,6354.27,6354.27,6354.27,5.28626e-05,5.28626e-05,5.28626e-05
2e+30,-4.95609e+13,-4.95609e+13,-3.8579e+13,7077.34,7077.34,5002.05,5.89015e-05,5.89015e-05,4.18455e-05
2e+30,-4.95457e+13,-4.95457e+13,-2.75391e+13,7321.63,7321.63,3859.85,6.09308e-05,6.09308e-05,3.25458e-05
2e+30,-4.95506e+13,-4.95506e+13,-1.64974e+13,7242.04,7242.04,2745.74,6.02461e-05,6.02461e-05,2.34371e-05
2e+30,-4.95783e+13,-4.95783e+13,-5.46203e+12,6794,6794,1527.47,5.64554e-05,5.64554e-05,1.33904e-05
2e+30,-4.95783e+13,-4.95783e+13,5.46203e+12,6794,6794,-1527.47,5.64554e-05,5.64554e-05,-1.33904e-05
2e+30,-4.95506e+13,-4.95506e+13,1.64974e+13,7242.04,7242.04,-2745.74,6.02461e-05,6.02461e-05,-2.34371e-05
2e+30,-4.95457e+13,-4.95457e+13,2.75391e+13,7321.63,7321.63,-3859.85,6.09308e-05,6.09308e-05,-3.25458e-05
2e+30,-4.95609e+13,-4.95609e+13,3.8579e+13,7077.34,7077.34,-5002.05,5.89015e-05,5.89015e-05,-4.18455e-05
2e+30,-4.96057e+13,-4.96057e+13,4.96057e+13,6354.27,6354.27,-6354.27,5.28626e-05,5.28626e-05,-5.28626e-05
2e+30,-4.95609e+13,-3.8579e+13,-4.95609e+13,7077.34,5002.05,7077.34,5.89015e-05,4.18455e-05,5.89015e-05
2e+30,-4.95094e+13,-3.85448e+13,-3.85448e+13,7907.44,5553.49,5553.49,6.57843e-05,4.64728e-05,4.64728e-05
2e+30,-4.9492e+13,-3.85328e+13,-2.75135e+13,8186.78,5747.67,4273.81,6.80842e-05,4.80882e-05,3.60404e-05
2e+30,-4.94976e+13,-3.85367e+13,-1.64798e+13,8095.08,5683.55,3031.49,6.72871e-05,4.75299e-05,2.58697e-05
2e+30,-4.95295e+13,-3.85583e+13,-5.45406e+12,7579.23,5332.67,1657.29,6.29295e-05,4.45418e-05,1.45259e-05
2e+30,-4.95295e+13,-3.85583e+13,5.45406e+12,7579.23,5332.67,-1657.29,6.29295e-05,4.45418e-05,-1.45259e-05
2e+30,-4.94976e+13,-3.85367e+13,1.64798e+13,8095.08,5683.55,-3031.49,6.72871e-05,4.75299e-05,-2.58697e-05
2e+30,-4.9492e+13,-3.85328e+13,2.75135e+13,8186.78,5747.67,-4273.81,6.80842e-05,4.80882e-05,-3.60404e-05
2e+30,-4.95094e+13,-3.85448e+13,3.85448e+13,7907.44,5553.49,-5553.49,6.57843e-05,4.64728e-05,-4.64728e-05
