m,x,y,z,vx,vy,vz,ax,ay,az
2e+30,1.98188e+13,-4.0408e+13,2.77103e+13,167877,177283,169680,-6.05076e-06,7.06661e-05,-2.72968e-05
2e+30,3.66618e+13,3.45406e+13,-2.40477e+13,-33871.6,-34209.1,79617.4,-7.79885e-05,-4.61452e-05,3.61101e-05
2e+30,1.74369e+13,1.80391e+13,4.54156e+13,93252.2,101015,165320,-2.9229e-05,-3.70322e-05,-5.00866e-05
2e+30,-4.29383e+12,4.97294e+13,-3.4114e+13,124938,133396,99879.7,-2.22807e-05,-7.28188e-05,4.69844e-05
2e+30,4.02486e+13,3.10244e+13,-9.74288e+12,168470,175149,73567.6,-5.40202e-05,-3.95926e-05,4.47609e-06
2e+30,-3.40474e+13,2.58645e+13,8.15819e+12,178315,169400,-17206.8,4.73789e-05,-1.87873e-05,-1.46366e-05
2e+30,2.1543e+13,-3.81906e+13,3.27753e+13,91366.3,62599.2,-99840.5,-2.87898e-05,7.60772e-05,-6.41084e-05
2e+30,1.70943e+13,1.60769e+13,4.90781e+13,97142.8,98836.4,-167864,-3.38674e-05,-3.07308e-05,-9.85668e-05
2e+30,-2.63763e+13,-2.5965e+13,4.43031e+13,73526.8,74344.1,-61956.5,2.8644e-05,3.09113e-05,-7.81679e-05
2e+30,4.44541e+13,4.27685e+13,-4.38372e+13,167571,169655,-166992,-7.31759e-05,-5.02639e-05,3.46135e-05
2e+30,-4.67265e+13,2.61493e+13,-3.53335e+13,221757,136058,147738,7.88922e-05,-3.72043e-05,4.92745e-05
2e+30,3.31952e+13,3.55657e+13,-3.93925e+12,-1011.24,164629,123137,-2.26077e-05,-0.000152017,-9.0241e-05
2e+30,-4.129e+13,4.77433e+12,-3.02092e+13,64422.8,125405,174721,5.76368e-05,6.87144e-06,5.1765e-05
2e+30,3.96288e+13,3.44663e+13,1.45116e+13,-2100.52,199465,296224,-5.06225e-05,-0.000121885,-6.7067e-05
2e+30,-4.42561e+13,-2.96757e+13,-2.70094e+12,-6.85586e+07,7.96536e+07,8.30944e+06,6.59577e-05,3.70453e-05,1.28623e-05
2e+30,2.25245e+13,1.76693e+13,4.81981e+13,-4.74067e+07,4.30562e+07,-4.4018e+06,-3.94707e-05,2.71379e-06,-7.6842e-05
2e+30,-2.69884e+13,-4.20868e+13,-1.24167e+13,114351,133902,-160794,4.35543e-05,5.35637e-05,1.1543e-05
2e+30,2.13177e+13,9.41653e+12,3.48982e+13,94060.4,123678,-170477,-4.58175e-05,-6.47559e-06,-5.80371e-05
2e+30,3.88432e+13,3.96071e+13,2.15314e+13,132592,90857.3,-116454,-7.86168e-05,-7.65978e-05,-4.1003e-05
2e+30,2.35277e+13,1.99699e+13,-2.64729e+13,59392.6,69626.8,-55250.4,-2.35746e-05,-2.8579e-05,5.75173e-05
2e+30,1.12553e+13,3.79298e+13,2.36011e+13,103029,159649,97503.8,-3.94212e-06,-6.14894e-05,-1.59491e-05
2e+30,-4.58106e+13,-2.46543e+13,1.09857e+12,57386.8,173831,127816,5.59636e-05,2.98363e-05,-6.94881e-06
2e+30,-4.50697e+13,-2.21616e+13,-2.46815e+13,60891.5,1.00987e+06,1.01082e+06,8.6825e-05,3.02864e-05,3.08241e-05
2e+30,-1.64898e+13,3.62195e+13,-2.37e+13,295628,723074,-79333.2,2.22677e-05,-5.77179e-05,4.20927e-05
2e+30,4.10023e+13,2.21671e+13,2.8049e+13,167649,8.82843e+06,147981,-6.70859e-05,-2.56089e-05,-4.21412e-05
2e+30,4.25888e+13,2.17307e+13,-1.90246e+13,165444,8.83082e+06,-149191,-7.37927e-05,-3.823e-05,4.6935e-05
2e+30,-1.34961e+13,-4.76473e+13,3.2755e+12,292701,731443,80841,5.2157e-05,3.77628e-05,2.11365e-05
2e+30,-2.97947e+13,-1.97332e+13,2.04092e+13,75084.3,1.01224e+06,-1.0135e+06,7.93663e-05,6.76999e-05,-0.000104718
2e+30,-4.56435e+13,-2.39199e+13,-4.64908e+12,56685.8,176404,-128230,6.24226e-05,2.84324e-05,7.58495e-07
2e+30,1.35322e+13,4.35155e+13,-1.19992e+13,94910.2,166929,-96917.6,6.68551e-06,-9.86952e-05,1.23739e-05
2e+30,2.59284e+12,4.56913e+13,2.7507e+12,168756,85244.3,134535,-7.37142e-06,-5.93946e-05,-1.1835e-05
2e+30,-4.82665e+13,2.76211e+12,2.89503e+13,2280.46,-13188.5,236538,7.32817e-05,2.96627e-06,-3.46279e-05
2e+30,-2.74262e+13,6.64016e+12,3.13394e+13,284381,-72057.6,719404,3.32502e-05,-1.79256e-06,-4.66123e-05
2e+30,2.08879e+13,4.72184e+13,-4.46736e+13,132703,92096.7,88954.2,-3.37545e-05,-6.78724e-05,4.82713e-05
2e+30,1.17068e+13,2.41058e+13,4.18051e+12,272360,195786,-249507,-7.97034e-06,-3.6198e-05,5.33469e-06
2e+30,4.1257e+13,-4.05203e+12,-2.52084e+13,205050,152714,308775,-4.58822e-05,9.2542e-06,2.62799e-05
2e+30,-3.28883e+13,3.2372e+13,-2.88646e+13,78124.2,94199.7,-79822.2,5.59197e-05,-5.46961e-05,4.34757e-05
2e+30,1.59262e+13,2.33098e+12,-3.0919e+13,306621,-77983.5,-720160,-1.66753e-05,3.0675e-06,4.98533e-05
2e+30,6.47146e+12,-3.7861e+13,-3.4528e+13,201241,239029,-237226,-1.69745e-05,6.44896e-05,3.71274e-05
2e+30,3.6432e+13,-1.3312e+13,-2.84967e+13,87381.4,113791,-98967.3,-5.26672e-05,4.58086e-05,1.57407e-05
2e+30,2.84388e+13,-1.85811e+13,-4.59213e+13,204705,68609.9,175620,-3.88378e-05,1.4065e-05,6.73845e-05
2e+30,3.32172e+13,-2.90307e+13,8.28175e+12,1.04512e+08,1.01122e+09,-2.58353e+08,-4.50878e-05,1.78328e-05,-5.03838e-05
2e+30,4.08393e+13,3.19726e+13,2.53427e+13,168626,147329,8.83243e+06,-5.5084e-05,-4.84075e-05,-3.90767e-05
2e+30,-1.32872e+13,6.66228e+12,-1.95349e+13,192288,-286278,106448,3.80745e-05,-6.83602e-06,2.58826e-05
2e+30,1.05075e+13,2.91254e+13,2.94287e+13,475839,-206458,-194830,-9.71799e-06,-5.56803e-05,-6.18758e-05
2e+30,1.67878e+13,1.77054e+13,-2.01895e+13,475137,-209259,205420,-3.37244e-05,-3.22524e-05,1.73052e-05
2e+30,1.10382e+13,4.24546e+13,-5.74643e+12,166004,-299701,-84711,-1.3104e-05,-7.82933e-05,2.52824e-05
2e+30,2.50233e+13,-4.509e+13,-2.74993e+13,165708,157117,-8.8305e+06,-3.52244e-05,8.32821e-05,4.51507e-05
2e+30,-3.11887e+12,-7.79669e+12,-1.9223e+13,-1.73816e+08,2.27249e+07,-1.62176e+08,-4.58587e-05,5.06643e-05,6.21876e-06
2e+30,1.80455e+13,-1.65028e+13,-3.59117e+13,174489,-45635,-164321,1.30994e-06,7.23333e-06,7.93978e-05
2e+30,-9.49682e+12,2.47399e+13,-1.19969e+13,190971,-68340.3,195140,1.42316e-05,-4.16832e-05,2.03419e-05
2e+30,-1.00683e+13,4.04136e+13,2.67091e+13,-4.00319e+08,-1.58355e+08,4.14301e+08,-3.82392e-05,6.35827e-05,1.55082e-05
2e+30,4.27212e+13,-2.52516e+13,2.67434e+13,165800,-148267,8.83117e+06,-3.4663e-05,3.51374e-05,-7.62157e-05
2e+30,4.63375e+13,2.62384e+13,2.3246e+12,169525,295481,114960,-8.30144e-05,-6.39646e-05,1.44415e-05
2e+30,6.52514e+12,-3.13052e+13,2.98344e+13,473950,204351,-199374,1.35179e-06,5.41464e-05,-5.48684e-05
2e+30,-3.9137e+12,-2.18527e+13,-2.17339e+13,474447,210757,201248,2.67801e-06,1.20809e-05,9.7146e-06
2e+30,1.2487e+13,2.0613e+13,-2.35082e+13,165866,290972,-88305.8,-1.23704e-05,-3.19275e-05,4.05197e-05
2e+30,3.37049e+13,-4.3939e+13,-2.88574e+13,169426,-148030,-8.83157e+06,-6.51208e-05,8.6863e-05,2.36886e-05
2e+30,-1.9205e+13,7.83043e+12,-4.8187e+13,-6.46584e+07,-4.30887e+06,-6.72257e+07,3.32262e-05,-2.19681e-05,6.71431e-05
2e+30,-3.78136e+13,1.62e+13,2.42562e+13,178873,-72327.9,-178644,4.49442e-05,-3.2821e-05,-5.45966e-05
2e+30,3.07658e+13,-4.7139e+13,2.96832e+13,59410.6,-79076.4,98497.7,-3.76437e-05,6.05342e-05,-2.48224e-05
2e+30,-3.94328e+13,-6.37015e+12,4.13212e+13,135596,-157859,164958,-8.44248e-05,3.06624e-05,-5.95076e-05
2e+30,-2.04105e+13,3.06021e+13,4.81483e+13,293151,76843,722623,0.000120381,-0.000162256,1.34015e-06
2e+30,-4.61088e+13,-6.29921e+11,-6.33688e+12,100409,52725.3,-47316.2,5.50156e-05,2.45578e-06,1.18756e-05
2e+30,1.39199e+13,-4.54597e+13,-2.70676e+13,166024,-78600.4,-293820,-2.19576e-05,8.62802e-05,4.02102e-05
2e+30,1.25854e+13,-3.74906e+13,2.47964e+13,163357,-88246.8,295767,-7.27771e-06,6.90401e-05,-4.24999e-05
2e+30,4.15663e+13,-4.544e+13,2.9698e+12,56423.1,-84089.1,57825.8,-6.12932e-05,3.72629e-05,-2.35247e-06
2e+30,-1.9819e+13,3.25374e+13,-4.90789e+13,292284,74964.7,-725391,3.08919e-05,-5.04421e-05,7.88595e-05
2e+30,3.36117e+13,4.29471e+13,-4.33273e+13,-28626.6,-85811,-169041,-3.58971e-05,-4.82221e-05,4.87789e-05
2e+30,-8.74501e+12,3.69515e+13,8.41043e+12,127966,-92942.8,-127250,-7.75446e-06,-4.74358e-05,-1.1609e-05
2e+30,1.77562e+13,-4.99152e+13,2.21126e+13,95691.6,-164510,100296,-1.90191e-05,8.6716e-05,-3.25146e-05
2e+30,-4.36943e+13,2.95236e+13,-1.40697e+13,59803.3,-172558,116573,6.74197e-05,-3.37098e-05,1.08262e-05
2e+30,-4.31837e+13,2.58166e+13,-2.47037e+13,62772.2,-1.01105e+06,1.01119e+06,7.64771e-05,-4.6369e-05,2.91474e-05
2e+30,-1.75332e+13,-4.26421e+13,-2.90431e+13,291661,-725935,-80164.6,5.75742e-05,4.09514e-05,4.24587e-05
2e+30,4.09386e+13,-1.47881e+13,2.79079e+13,164662,-8.82613e+06,148297,-6.51969e-05,1.8069e-05,-3.8854e-05
2e+30,4.18792e+13,-9.28661e+12,-1.7752e+13,165301,-8.82447e+06,-147043,-6.16392e-05,2.32447e-05,2.72042e-05
2e+30,-1.89071e+13,-4.40046e+13,1.22761e+13,290318,-728194,79249.5,4.5653e-05,5.17393e-05,-1.52946e-05
2e+30,-4.44091e+13,2.55254e+13,2.30089e+13,56268.5,-1.0081e+06,-1.00947e+06,6.13796e-05,-6.10966e-05,-4.16144e-05
2e+30,-4.75621e+13,2.98505e+13,-2.84317e+11,50961.6,-171603,-124804,5.95979e-05,-3.55716e-05,-2.53501e-06
2e+30,7.7902e+10,-3.83746e+13,2.32707e+12,93946.3,-159239,-89184.4,-1.12255e-07,3.08369e-05,1.20623e-05
2e+30,-2.63685e+13,-3.24397e+13,3.37155e+13,-112917,-136359,36974.2,4.31165e-05,6.62591e-05,-7.863e-05
2e+30,-3.98468e+13,1.5816e+13,-3.59015e+13,69817.3,-192048,66640.4,5.4783e-05,-1.83089e-05,5.19357e-05
2e+30,3.95249e+13,-4.46419e+13,-3.91892e+13,51932.8,-128299,209999,-6.32409e-05,6.79132e-05,5.68503e-05
2e+30,3.65695e+13,-3.89904e+13,1.46572e+13,169345,-207094,33134.9,-4.97046e-05,5.28627e-05,-2.23203e-05
2e+30,6.15956e+12,2.5988e+13,-4.71019e+13,5.66531e+08,4.25911e+08,3.522e+08,7.96061e-05,7.35289e-06,-2.73027e-05
2e+30,1.93476e+13,-1.08959e+13,7.15483e+11,-6.09463e+08,-4.06695e+08,-4.59668e+08,4.42215e-05,-3.05101e-05,-7.0135e-05
2e+30,4.30484e+13,-3.3913e+13,3.51586e+13,58606.2,-123042,-102716,-7.33877e-05,5.22836e-05,-5.2347e-05
2e+30,-4.50696e+13,9.97663e+12,7.04488e+12,54127.1,-118975,-183598,7.40928e-05,-2.59473e-05,-1.88865e-05
2e+30,-8.2815e+12,2.25244e+13,3.33397e+13,61869.9,-81361.5,-62621.5,1.62706e-05,-4.912e-05,-6.62197e-05
2e+30,-4.65039e+13,-8.77549e+12,4.50267e+13,59749.5,-64457,-63062.4,6.96357e-05,-9.90396e-06,-5.15352e-05
2e+30,-4.02658e+13,4.94392e+13,-4.95932e+13,165727,-169913,172619,4.60992e-05,-5.90063e-05,5.81157e-05
2e+30,3.39505e+13,1.16273e+13,4.67609e+13,2028.95,-88848.4,95200.3,-4.69914e-05,-9.71099e-06,-7.90342e-05
2e+30,1.88611e+13,-2.01394e+13,3.27988e+13,94917.7,-103896,159028,-3.57211e-05,4.30548e-05,-4.9324e-05
2e+30,-4.38883e+13,3.97202e+13,-2.19589e+13,104111,-104521,107661,7.70818e-05,-5.89541e-05,1.93064e-05
2e+30,1.15356e+12,2.50237e+12,2.41582e+13,160837,-156318,84287.9,-1.07771e-05,-5.21503e-06,-3.34528e-05
2e+30,1.94406e+13,-1.78034e+13,-3.43343e+13,165245,-167781,-76015.9,-2.58382e-05,4.52423e-05,7.09328e-05
2e+30,5.33323e+12,-1.33492e+12,1.41975e+13,131283,-123772,-111354,-3.96276e-05,3.1863e-06,-4.2454e-05
2e+30,2.09908e+13,-2.54703e+13,-4.16341e+13,100175,-96775.9,-163121,-2.50058e-05,4.69211e-05,6.84083e-05
2e+30,-1.73816e+13,-3.23507e+13,4.97317e+13,123674,33647.6,-91833.5,2.83217e-05,2.16967e-05,-8.25543e-05
2e+30,3.44808e+13,-3.08485e+13,-3.35873e+13,165130,-168882,-166559,-4.94588e-05,6.28725e-05,6.58472e-05
2e+30,2.10947e+13,-4.72533e+13,4.90206e+13,-48691.8,52342.4,52281,-1.4103e-05,7.88966e-05,-8.31693e-05
2e+30,-8.62872e+12,-4.07097e+13,-6.78132e+12,120178,61697.2,121513,3.70174e-06,4.47009e-05,1.56906e-05
2e+30,-1.42623e+13,-4.36266e+13,-3.12253e+13,120503,66964.8,173109,1.56983e-05,6.95215e-05,3.79249e-05
2e+30,4.56098e+13,1.30222e+13,2.14291e+13,201257,130494,159136,-9.48301e-05,-1.66164e-05,-2.61698e-05
2e+30,-2.88217e+13,-3.12908e+13,3.08155e+13,6.88035e+07,-7.94005e+07,-7.5232e+06,8.32662e-05,5.26091e-05,-9.07964e-05
2e+30,1.12101e+13,1.65606e+13,2.73346e+13,4.76565e+07,-4.2806e+07,3.62024e+06,-4.51021e-06,-2.70277e-05,-3.38949e-05
2e+30,4.60778e+13,1.63541e+13,3.98428e+13,125757,65582.4,-94098.7,-7.34758e-05,-1.79524e-05,-5.87665e-05
2e+30,-1.51073e+13,-4.09782e+13,4.46825e+13,116729,61049.2,-163341,4.55011e-05,5.91483e-05,-8.42881e-05
2e+30,-1.80198e+13,3.7732e+13,2.62082e+13,80866.6,58257.7,-83863.4,3.97195e-05,-4.65406e-05,-3.35757e-05
2e+30,1.18043e+13,2.41817e+13,-3.37893e+13,130353,65592,-11537,-2.24797e-05,-5.02721e-05,4.71743e-05
2e+30,-4.6358e+13,4.82754e+13,3.41305e+13,55756.5,46336.1,64015.1,6.70813e-05,-8.13142e-05,-2.83961e-05
2e+30,7.64682e+12,6.33086e+12,6.37322e+12,2.57695e+06,2.57936e+06,2.57972e+06,-2.4961e-05,-3.08099e-05,-1.70759e-05
2e+30,2.83202e+12,-1.32996e+12,1.89784e+13,64905.2,67599,8.22291e+07,-4.80061e-05,4.09416e-05,3.52118e-05
2e+30,-5.91519e+12,-5.40072e+12,-2.74596e+13,189183,186281,168127,1.17403e-05,6.5395e-05,2.79421e-05
2e+30,-3.46064e+13,-4.21027e+13,-4.15409e+12,66299.6,53976.6,707345,4.3101e-05,5.62168e-05,7.7991e-06
2e+30,-4.86479e+13,4.97244e+13,1.13855e+13,36714.1,43384.3,-704385,0.000105695,-8.94697e-05,1.59739e-05
2e+30,-4.92418e+13,-8.25325e+12,1.40074e+13,159413,188715,-221568,7.221e-05,1.19903e-05,-2.59344e-05
2e+30,9.74117e+11,-1.12985e+13,4.72695e+11,60616.8,63820.3,-8.22233e+07,-1.56574e-06,2.34849e-05,-1.01351e-05
2e+30,1.43386e+13,1.24693e+13,-1.59743e+13,2.58098e+06,2.58522e+06,-2.57984e+06,-1.14356e-05,-2.15003e-05,4.26478e-05
2e+30,-4.62843e+13,-4.56508e+13,3.56796e+13,53509.2,55540.5,-64452.3,6.31083e-05,5.43412e-05,-4.85977e-05
2e+30,-1.29751e+13,-3.3497e+13,-3.1562e+13,117537,173429,75375.1,2.3417e-05,8.29009e-05,6.22224e-05
2e+30,1.68671e+13,5.99252e+12,-4.61932e+13,127316,8.24753e+07,95215.2,-1.7941e-05,-8.62243e-06,7.95283e-05
2e+30,-3.93789e+13,-4.00048e+13,-3.94808e+13,133436,199872,204491,4.59168e-05,5.84313e-05,5.93921e-05
2e+30,3.74422e+13,-3.08841e+13,-8.91129e+12,850076,169600,111082,-4.45693e-05,3.25462e-05,2.23648e-05
2e+30,3.11444e+12,-1.56414e+13,-4.22062e+13,91416,214095,1.0287e+06,-1.7479e-05,0.000301607,7.77826e-05
2e+30,2.11843e+13,3.69977e+12,4.02158e+13,57723.3,221570,-1.02905e+06,-2.28809e-05,1.62958e-06,-5.18805e-05
2e+30,3.91198e+13,-2.79174e+13,3.0873e+13,848527,172074,-98120.6,-6.2101e-05,5.46945e-05,-4.15214e-05
2e+30,-3.41849e+13,-1.87232e+13,-1.71892e+13,172310,212142,-226675,5.60465e-05,3.56203e-05,4.87569e-05
2e+30,7.36617e+12,-3.41691e+13,-1.01753e+13,67097.3,8.2283e+07,-63641.9,5.43008e-07,5.76047e-05,1.13087e-05
2e+30,8.40832e+12,6.84446e+11,-4.6658e+13,128181,187932,-56367,-9.88767e-06,1.63065e-06,6.14706e-05
2e+30,1.28077e+13,-1.17803e+13,-4.51705e+13,121622,112483,59071.9,-1.55025e-05,5.59786e-05,7.14462e-05
2e+30,1.72064e+13,-4.14903e+13,-1.5404e+13,163618,161333,183446,-4.79742e-05,6.69964e-05,3.73748e-05
2e+30,-4.21072e+13,2.14433e+13,-2.2023e+13,817219,119344,173315,7.45804e-05,-1.6188e-05,2.55628e-05
2e+30,4.85339e+11,-2.69385e+12,-3.93689e+13,293908,221540,54221.7,1.43652e-05,1.68013e-05,5.86089e-05
2e+30,2.06631e+13,-1.91077e+13,-3.05111e+13,127201,210723,-84414.2,-7.25809e-05,1.30181e-07,0.000101084
2e+30,-3.28104e+13,4.83381e+13,-4.65668e+13,104518,196213,84942.7,3.19628e-05,-6.38693e-05,7.4128e-05
2e+30,2.61676e+13,-1.45204e+13,3.78069e+13,408701,-262035,-49816,-4.68269e-05,1.55809e-05,-6.55153e-05
2e+30,-1.22925e+13,-3.69208e+13,3.11835e+13,868104,96225.9,-168067,2.21313e-05,5.65035e-05,-4.11384e-05
2e+30,3.82745e+13,1.83513e+13,4.49342e+13,168661,184221,-161216,-5.91247e-05,-3.62016e-05,-8.00642e-05
