m,x,y,z,vx,vy,vz,ax,ay,az
2e+30,-3.42783e+13,1.01174e+13,-2.70959e+13,167495,183920,165911,6.97167e-05,-2.90935e-05,5.29391e-05
2e+30,2.46796e+13,2.32396e+13,-8.30166e+11,-50188,-45754.5,85754.1,-2.73757e-05,-3.10834e-05,8.87789e-06
2e+30,4.1588e+13,4.39673e+13,-7.40937e+12,78522.6,84728.6,175678,-7.01059e-05,-7.28148e-05,-1.21891e-06
2e+30,3.00123e+13,-1.13716e+13,-5.20505e+12,120472,147427,106660,-7.35921e-05,3.62318e-05,-2.95076e-05
2e+30,-1.2637e+13,-2.14161e+13,1.04186e+13,176326,174306,70892.5,1.42248e-05,4.27876e-05,-1.04176e-07
2e+30,1.62108e+13,-2.82819e+13,2.991e+12,181419,169377,-19233.5,-2.53231e-05,3.38537e-05,-1.32542e-05
2e+30,4.38095e+13,-1.84008e+13,3.62593e+12,71603,78472.2,-108183,-6.07766e-05,3.5673e-05,-3.44029e-06
2e+30,4.24079e+13,4.19302e+13,2.42962e+11,84221.2,85474.5,-181833,-7.10831e-05,-6.83906e-05,-3.70046e-06
2e+30,-4.72306e+12,-4.28795e+12,2.47702e+13,82906.4,81168.6,-76912.2,8.40059e-06,2.14496e-06,-3.41385e-05
2e+30,-7.91331e+12,-9.23945e+12,8.60715e+12,180802,182147,-180146,2.72087e-05,1.43207e-05,-1.51858e-05
2e+30,1.64055e+13,-3.80735e+13,6.76079e+12,229586,130233,153388,-2.72056e-05,4.84878e-05,-1.18757e-05
2e+30,3.11809e+13,-1.91285e+13,2.93592e+13,-15235.6,169646,115470,-4.93712e-05,2.53433e-05,-4.94817e-05
2e+30,-2.1323e+13,3.87022e+13,1.89462e+13,77852.9,117312,177754,2.50571e-05,-7.82792e-05,-2.204e-05
2e+30,3.69067e+13,-1.07206e+13,-4.14362e+12,-21007.7,201661,298112,-5.37099e-05,4.98036e-05,-1.72563e-05
2e+30,6.35079e+11,-6.99643e+12,-5.34732e+12,-6.85587e+07,7.96539e+07,8.30932e+06,-3.08519e-06,1.11749e-05,1.81593e-05
2e+30,1.54865e+13,2.1857e+13,3.11372e+13,-4.74068e+07,4.30563e+07,-4.40194e+06,-2.0046e-05,-4.18328e-05,-6.7818e-05
2e+30,5.63036e+12,-3.08141e+12,4.46057e+13,119536,146826,-153179,-4.12702e-06,1.40115e-05,-6.77898e-05
2e+30,4.54388e+13,4.2354e+13,-1.3258e+13,79499.6,113167,-174992,-7.18322e-05,-6.42962e-05,2.26806e-05
2e+30,-2.47518e+13,-3.58716e+13,-1.10756e+13,137204,94824.6,-116377,3.75686e-05,5.56582e-05,6.21345e-06
2e+30,3.73202e+13,3.75359e+13,-3.86215e+13,40829.5,55352.1,-31828.5,-2.64559e-05,-6.75467e-05,6.38767e-05
2e+30,3.86233e+13,-1.79239e+13,4.87458e+13,92981.9,164988,80805.7,-6.98335e-05,1.05286e-05,-7.5252e-05
2e+30,-2.75978e+13,2.40147e+13,3.55958e+13,74413.2,174386,117518,4.46452e-05,-4.21402e-05,-7.27327e-05
2e+30,-2.56852e+13,-4.3137e+13,-4.55381e+13,77084.6,1.00767e+06,1.0083e+06,3.85994e-05,4.98281e-05,6.54831e-05
2e+30,-3.52002e+13,3.62288e+13,-4.38656e+13,292765,722697,-64790.7,5.45177e-05,-5.03388e-05,6.56467e-05
2e+30,-1.24119e+13,-3.68345e+13,-3.22184e+13,172797,8.82871e+06,148473,2.6834e-05,5.67828e-05,4.90266e-05
2e+30,-1.09963e+13,-3.6831e+13,4.15348e+13,172582,8.83001e+06,-141163,1.88016e-05,4.64756e-05,-5.38207e-05
2e+30,-3.30446e+13,-4.51691e+13,2.49976e+13,290822,731006,74651.9,5.45485e-05,0.000119343,-3.24943e-05
2e+30,-7.48378e+12,-4.01125e+13,4.0109e+13,83955.3,1.01069e+06,-1.01296e+06,1.19416e-05,4.66469e-05,-4.35507e-05
2e+30,-2.77068e+13,2.52059e+13,-3.89284e+13,71518.3,174455,-116048,3.49239e-05,-3.57257e-05,9.06667e-05
2e+30,3.83675e+13,-8.92437e+12,-3.75176e+13,81885.1,178973,-86140.4,-4.95732e-05,4.63534e-05,3.2574e-05
2e+30,4.79498e+13,-2.99712e+13,3.87806e+13,156465,95015.6,123898,-7.87139e-05,3.82756e-05,-5.26245e-05
2e+30,-4.51106e+13,-9.18346e+11,-6.20206e+12,19252.8,-14170.7,237491,6.23052e-05,-1.43952e-05,2.03791e-05
2e+30,-4.87219e+13,-1.31326e+13,3.02232e+13,279658,-69283.3,719012,6.63252e-05,6.90759e-06,-3.40631e-05
2e+30,-4.43848e+13,-2.56483e+13,-1.85317e+13,121393,106470,98819.5,7.95268e-05,2.7082e-05,2.02894e-05
2e+30,-1.40153e+13,-2.30017e+13,3.61685e+13,270406,193648,-246225,2.34743e-05,2.75602e-05,-6.49402e-05
2e+30,-1.03786e+12,3.72959e+13,-3.97611e+13,213338,144403,306698,4.00514e-06,-3.98261e-05,5.06512e-05
2e+30,-9.52734e+12,-4.37072e+13,-4.8583e+13,82171.8,91395.4,-68554.9,7.69039e-05,8.9659e-05,4.09455e-05
2e+30,4.13068e+11,-1.88509e+13,-3.00815e+13,308949,-73885.3,-720148,4.84041e-06,8.85059e-06,4.42871e-05
2e+30,-3.90283e+13,2.90314e+13,-2.06268e+11,195654,240492,-241117,4.95471e-05,-3.3869e-05,1.17695e-06
2e+30,-4.11687e+13,1.85113e+13,4.56551e+13,82997.9,113356,-92034,5.49009e-05,-2.72473e-05,-5.92409e-05
2e+30,-1.52852e+13,1.12832e+12,4.44929e+12,208476,72094,185420,9.90813e-06,3.64336e-06,2.41367e-06
2e+30,2.8692e+13,-4.6659e+13,-2.11781e+13,1.04512e+08,1.01122e+09,-2.58353e+08,-2.65672e-05,4.75219e-05,1.29481e-06
2e+30,-1.22265e+13,-2.79706e+13,-3.2621e+13,174511,149814,8.8329e+06,5.44554e-06,4.15628e-05,6.00081e-05
2e+30,3.98071e+13,2.81891e+13,1.06278e+13,187576,-284586,109485,-6.14475e-05,-3.26821e-05,-1.56345e-05
2e+30,4.14738e+13,-2.87399e+13,-2.53903e+13,470953,-207068,-196970,-7.01775e-05,3.94855e-05,3.64042e-05
2e+30,4.83342e+13,-4.03363e+13,3.74174e+13,474565,-205499,205861,-8.54565e-05,5.48086e-05,-4.86138e-05
2e+30,-4.46347e+13,-4.15388e+13,-2.83969e+13,155626,-300693,-77848.7,6.36472e-05,8.32646e-05,5.76952e-05
2e+30,-3.0487e+13,9.8914e+10,3.10956e+13,163434,166574,-8.83007e+06,2.48078e-05,1.3659e-05,-3.74078e-05
2e+30,4.00495e+13,-2.47886e+13,4.23539e+13,-1.73817e+08,2.27254e+07,-1.62176e+08,7.64898e-05,2.42462e-05,7.69284e-05
2e+30,-3.49059e+13,-2.81742e+13,1.91771e+13,173143,-37164.2,-167231,7.67061e-05,4.39464e-05,-2.85379e-07
2e+30,4.28504e+13,4.6876e+12,4.16149e+13,184389,-75151.6,188719,-7.9808e-05,-1.18722e-05,-7.48235e-05
2e+30,9.86633e+12,-4.15797e+13,-2.73814e+13,-4.00319e+08,-1.58355e+08,4.14301e+08,-6.30055e-05,2.65931e-05,-5.66661e-05
2e+30,-1.08131e+13,3.51078e+13,-3.15187e+13,172835,-145743,8.83169e+06,3.58083e-06,-5.38476e-05,5.32356e-05
2e+30,-5.49417e+12,7.79213e+12,3.31505e+13,179093,296456,105815,1.33687e-05,-1.72358e-05,-3.59467e-05
2e+30,3.74181e+13,2.58169e+13,-2.61381e+13,473125,203926,-201390,-7.21626e-05,-5.20551e-05,4.32822e-05
2e+30,2.69331e+13,3.63873e+13,3.40856e+13,473165,205706,198424,-1.3247e-05,-7.4171e-05,-5.86099e-05
2e+30,-4.32175e+13,3.74104e+11,-4.61231e+13,156014,290985,-74301.1,3.7122e-05,3.80676e-06,4.7854e-05
2e+30,-1.96096e+13,1.44347e+13,2.94848e+13,174702,-155676,-8.83089e+06,3.1024e-05,-2.54294e-05,-6.46477e-05
2e+30,4.04029e+12,1.66101e+13,-3.47044e+13,-6.46584e+07,-4.30841e+06,-6.72254e+07,-1.49843e-05,-2.07056e-05,4.29219e-05
2e+30,1.29e+13,-4.48524e+12,-2.54599e+13,184178,-75932.8,-176239,-6.97111e-06,-1.62695e-06,3.2653e-05
2e+30,4.52506e+13,2.96061e+13,-4.4678e+13,43918.7,-91250.6,90943.8,-6.52011e-05,-3.23305e-05,5.95397e-05
2e+30,-5.65815e+11,-4.86789e+13,-1.2246e+13,143868,-145381,173747,8.03799e-06,6.20776e-05,1.31078e-05
2e+30,-3.96029e+13,4.9888e+13,4.8307e+13,290410,60713.3,722819,5.78168e-05,-8.10457e-05,-5.32517e-05
2e+30,-1.65809e+13,1.374e+13,-1.86762e+13,111810,50187.8,-41312.9,1.48233e-05,-2.06321e-05,3.03774e-05
2e+30,-4.16221e+13,3.22343e+13,-8.14805e+12,157725,-87916,-295386,6.2631e-05,-4.69829e-05,1.95137e-05
2e+30,-4.35518e+13,3.93375e+13,5.91442e+12,155671,-87376.4,294930,0.000164156,-3.88878e-06,6.44563e-05
2e+30,-4.41902e+13,3.0928e+13,1.88073e+13,55337.6,-91333,55707.3,7.50374e-05,-4.40098e-05,-1.92064e-05
2e+30,-3.94279e+13,-4.87151e+13,4.95478e+13,287780,62612.6,-727353,3.46348e-05,6.10402e-05,-7.89585e-05
2e+30,2.3925e+13,1.72292e+13,8.68563e+12,-42355,-98906.9,-179588,-2.57587e-05,-1.91626e-05,-1.15845e-05
2e+30,2.66255e+13,9.76034e+12,-2.66202e+13,125918,-101585,-124203,-8.12294e-05,-5.01502e-07,4.80194e-05
