m,x,y,z,vx,vy,vz,ax,ay,az
2e+30,-2.30733e+13,-3.22012e+12,-2.02445e+13,167241,182587,167660,2.72822e-05,7.48003e-06,3.63309e-05
2e+30,2.27187e+13,2.41751e+13,-3.81353e+13,48551.2,47821.3,71294.9,-2.03297e-05,-3.92732e-05,6.59999e-05
2e+30,-1.85497e+13,-2.2901e+13,-1.9053e+12,99245.7,93845.6,168541,2.45672e-05,3.10567e-05,1.3974e-05
2e+30,1.97523e+13,4.27918e+13,2.01935e+13,127044,135977,101265,-2.01124e-05,-6.85827e-05,-2.87065e-05
2e+30,-1.00314e+13,-2.12773e+13,-6.21545e+12,173622,167224,79572.5,4.91956e-06,3.08763e-05,8.78442e-06
2e+30,1.90442e+12,-2.10654e+13,8.20177e+12,185624,168542,14615.8,-2.05262e-06,2.88541e-05,-8.81965e-06
2e+30,-1.45958e+13,-4.1405e+13,-2.09938e+13,97734.1,65043.2,-104073,1.66633e-05,4.56343e-05,3.986e-05
2e+30,-1.94771e+13,-2.1554e+13,2.12266e+12,94169.5,97769.9,-171825,2.79132e-05,2.14866e-05,-8.68622e-06
2e+30,-3.58464e+13,-3.77028e+13,4.62068e+13,76586.8,73984.8,-47513.5,4.64414e-05,4.66315e-05,-0.000104646
2e+30,-1.06874e+13,-1.15744e+13,9.63449e+12,176258,175226,-176279,1.86114e-05,2.77819e-05,-1.1288e-05
2e+30,2.44265e+13,2.90801e+13,4.3878e+13,224660,134112,148053,-2.13441e-05,-0.000242896,-0.000373212
2e+30,-6.86448e+12,-1.74428e+13,2.30631e+13,44031.2,174132,122998,2.30976e-05,-4.71179e-05,1.12253e-05
2e+30,-4.75245e+13,2.74791e+13,1.54486e+13,56771.9,122145,174533,7.05403e-05,-3.68929e-05,-1.33622e-05
2e+30,-8.42781e+12,3.77874e+13,-2.01952e+13,49818.4,201132,295945,-3.20134e-07,-5.45514e-05,2.48632e-05
2e+30,-4.67651e+13,-2.36888e+13,-6.79921e+12,-6.85564e+07,7.96522e+07,8.30802e+06,8.92442e-05,0.000130221,0.000144388
2e+30,-4.63466e+13,-2.25045e+13,1.41308e+13,-4.7407e+07,4.30555e+07,-4.4026e+06,6.31448e-05,3.47955e-05,-1.63471e-05
2e+30,6.38922e+12,-4.56418e+13,1.3392e+13,118339,133528,-151344,-2.09229e-06,6.97848e-05,-2.8787e-05
2e+30,-1.77116e+13,3.42742e+13,-1.35667e+13,99404.5,122376,-173183,4.54033e-05,-4.61434e-05,5.50233e-05
2e+30,3.49826e+13,-5.96123e+12,-1.36319e+13,138301,104952,-118310,-6.30092e-05,-3.84842e-05,-2.96861e-05
2e+30,3.72932e+13,4.42197e+13,-4.06828e+13,51234.9,35934.8,-52496.4,-3.65253e-05,-7.85579e-05,5.39136e-05
2e+30,-2.41104e+13,-1.08611e+12,-2.02409e+13,91648.5,164301,100042,4.09305e-05,-3.26014e-05,3.65779e-05
2e+30,-4.85838e+13,1.90064e+13,2.53082e+13,53615.2,177619,118650,8.11861e-05,-2.52085e-05,-4.58889e-05
2e+30,-4.86413e+13,-7.76556e+12,-6.66643e+12,50121.3,1.01094e+06,1.01184e+06,9.32585e-05,2.90499e-05,3.205e-05
