m,x,y,z,vx,vy,vz,ax,ay,az
2e+30,9.72876e+12,3.20187e+13,1.27176e+13,168304,178444,169830,-1.26923e-05,-5.08976e-05,-1.66003e-07
2e+30,3.12446e+13,3.25017e+13,-2.29465e+13,37519.1,37256.1,83326.6,-7.0641e-05,-6.88377e-05,3.1849e-05
2e+30,1.13638e+12,-3.93246e+12,3.07107e+13,101644,100018,164890,-4.70626e-06,8.72215e-06,-3.44612e-05
2e+30,4.35629e+13,-3.06736e+13,3.92131e+13,116022,141561,94010.8,-7.32165e-05,4.37631e-05,-4.85627e-05
2e+30,2.35704e+13,1.19339e+13,8.99343e+12,171205,171501,77337,-1.06511e-05,-1.40605e-05,-9.55086e-06
2e+30,3.7601e+13,1.19606e+13,1.0723e+13,180055,169685,11802.1,-4.34454e-05,-1.40971e-05,-1.32323e-05
2e+30,4.59222e+12,-2.76899e+13,-4.03138e+13,98311.7,74890.2,-94690.8,-5.00676e-06,3.96312e-05,5.22432e-05
2e+30,-6.84787e+11,-2.01439e+12,-3.09684e+13,98465.4,101833,-167423,4.69009e-05,2.15809e-05,4.16611e-05
2e+30,-2.02547e+13,-2.23368e+13,3.53788e+13,83821.9,83218.9,-64394.7,1.93451e-05,5.86461e-05,-0.000103813
2e+30,2.36298e+13,2.2303e+13,-2.44597e+13,173673,170396,-172231,-8.15418e-06,-7.85432e-05,1.32994e-05
2e+30,-3.24512e+13,-4.58238e+13,-2.72401e+13,223830,128204,152683,5.52607e-05,9.12638e-05,4.60661e-05
2e+30,1.67421e+12,1.63931e+13,4.61841e+13,43935.5,172698,113581,9.12786e-06,-1.79008e-05,-6.47065e-05
2e+30,-3.51141e+13,-4.99008e+13,4.8868e+13,68517.9,110377,167481,1.41654e-05,6.52156e-05,-7.05082e-05
2e+30,1.34893e+12,-2.31542e+13,3.73062e+13,50328.1,204872,292761,2.64519e-06,3.49399e-05,-4.92478e-05
2e+30,2.5905e+13,-3.93315e+13,8.3e+12,-6.85563e+07,7.96519e+07,8.30837e+06,-3.76214e-05,6.32495e-05,-4.06988e-06
2e+30,3.77764e+13,4.75016e+13,-4.16848e+13,-4.74066e+07,4.30556e+07,-4.40196e+06,-6.19029e-05,-4.36236e-05,4.90363e-05
2e+30,2.90328e+13,-1.86514e+13,-1.62336e+13,113340,143085,-151901,-4.99795e-05,4.86625e-05,2.34448e-05
2e+30,2.01073e+12,-4.30453e+13,-4.65024e+13,101834,116078,-165611,-8.171e-06,6.7993e-05,6.59698e-05
2e+30,-3.88288e+13,1.43479e+13,-3.61155e+13,137197,103099,-111763,6.46401e-05,-1.86154e-05,5.84608e-05
2e+30,4.63429e+13,4.9829e+13,-4.98403e+13,41847.5,21894.3,-41386.1,-4.31628e-05,-7.23051e-05,7.27791e-05
2e+30,-5.6821e+12,3.04281e+13,-1.83207e+11,97180.3,158541,105985,9.33154e-06,-3.80864e-05,1.20543e-05
2e+30,-3.66635e+13,-4.72846e+13,4.73702e+13,68179.9,169070,107387,4.30484e-05,4.94513e-05,-8.47442e-05
2e+30,-3.73391e+13,-1.11119e+13,-1.01867e+13,64553.2,1.01328e+06,1.01029e+06,7.05876e-05,2.3072e-05,2.77956e-05
2e+30,9.85836e+12,1.24358e+13,-3.14817e+13,295532,725622,-70124.7,-4.48058e-06,-1.69698e-05,3.93629e-05
2e+30,2.33261e+13,-2.89632e+13,4.00185e+13,170837,8.82841e+06,147486,-2.81843e-05,4.5706e-05,-7.68639e-05
2e+30,2.36668e+13,-3.2182e+13,-3.44363e+13,172733,8.82902e+06,-143104,-5.59076e-05,5.13475e-05,9.62584e-05
2e+30,1.38152e+13,2.04116e+13,1.82282e+13,295358,730288,74401.8,-1.08295e-05,-3.38753e-05,-2.16811e-05
2e+30,-2.52076e+13,-1.04961e+13,1.05035e+13,82529,1.01397e+06,-1.01095e+06,3.7524e-05,8.14915e-06,-1.09988e-05
2e+30,-3.61757e+13,-4.64128e+13,-4.9485e+13,63820.7,169274,-108666,2.84151e-05,5.29731e-05,6.28408e-05
2e+30,-9.18602e+11,2.6805e+13,1.82387e+12,99769.3,164831,-97519.7,5.79995e-07,-2.77431e-05,7.8503e-07
2e+30,-3.46813e+12,2.83179e+13,4.47138e+13,163590,91562.4,115749,8.03239e-06,-2.56362e-05,-6.0021e-05
2e+30,-9.72654e+11,9.09986e+12,2.66342e+13,-62217.6,3680.22,237578,7.75707e-06,1.22948e-05,-4.01934e-05
2e+30,9.43822e+12,-2.14091e+13,1.57713e+13,288113,-65381.7,717484,-1.26515e-05,3.49249e-05,-1.83841e-05
2e+30,4.98683e+13,2.31342e+13,3.1408e+13,127219,95837.9,99927.7,-7.57781e-05,-1.89584e-05,-3.67882e-05
2e+30,-3.39697e+13,-2.07329e+13,1.77914e+13,269781,191206,-248029,8.48029e-05,3.59375e-05,-2.9844e-05
2e+30,-2.31561e+13,7.82757e+12,-1.91995e+13,207060,150952,309858,1.68353e-05,-2.17069e-06,2.86964e-05
2e+30,-3.32217e+13,1.4564e+13,-2.22843e+13,77970.1,95567.6,-93092.1,5.43237e-05,-1.97117e-05,3.38731e-05
2e+30,2.79875e+13,-1.58534e+13,-1.25004e+13,303455,-72711.7,-722953,-2.32049e-05,-1.21141e-05,-1.28539e-05
2e+30,-4.56698e+13,-4.37946e+13,-3.0444e+13,193315,237789,-239388,9.04833e-05,6.02324e-05,3.89623e-05
2e+30,1.44356e+13,4.9676e+13,-7.09255e+12,103610,94003.5,-100121,-1.32369e-05,-7.64871e-05,1.19425e-05
2e+30,-3.02786e+13,5.06849e+12,2.66034e+13,203693,75419.7,175055,4.90621e-05,-2.21114e-05,-4.25617e-05
2e+30,4.27697e+13,-2.9072e+13,-4.72766e+13,1.04513e+08,1.01122e+09,-2.58352e+08,-5.80249e-05,1.34573e-05,4.01364e-05
2e+30,2.32988e+13,4.21606e+13,-3.07143e+13,169256,147505,8.83191e+06,-4.1789e-05,-7.79888e-05,5.52828e-05
2e+30,4.74925e+13,-3.51498e+13,4.964e+13,183124,-278832,92412.6,-8.62511e-05,1.88776e-05,-6.15772e-05
2e+30,6.03337e+12,-1.15403e+13,-2.04567e+13,476581,-202442,-202125,1.13898e-05,1.4091e-05,4.14612e-05
2e+30,1.36248e+13,-1.95113e+13,2.06189e+13,477315,-206432,206879,-2.56474e-05,3.69905e-05,-2.82125e-05
2e+30,3.93758e+12,2.94685e+13,-8.35115e+12,165856,-303594,-84438.9,2.07388e-06,-2.78638e-05,1.17228e-05
2e+30,1.49583e+13,4.94997e+13,2.70431e+13,167823,153216,-8.83096e+06,-1.43396e-05,-8.75182e-05,-2.90085e-05
2e+30,8.48187e+12,3.2421e+13,-4.19532e+13,-1.73816e+08,2.27236e+07,-1.62176e+08,-2.69254e-08,-7.80724e-05,6.51856e-05
2e+30,3.23939e+12,3.84359e+13,-2.09914e+13,167406,-20672.4,-170665,2.16181e-06,-5.62255e-05,3.56236e-05
2e+30,-4.99648e+13,5.10457e+12,4.38254e+13,186571,-74088.1,187889,6.93366e-05,-6.78765e-06,-3.61684e-05
2e+30,-4.41146e+13,4.80407e+13,4.13585e+13,-4.00318e+08,-1.58355e+08,4.14301e+08,7.82841e-06,4.5569e-05,6.36248e-07
2e+30,2.31918e+13,-3.74898e+13,-2.74792e+13,170760,-147565,8.83264e+06,-7.16782e-05,7.84333e-05,6.35005e-05
2e+30,2.5176e+13,4.96779e+13,-3.8811e+13,176794,288813,109350,-2.73827e-05,-7.62035e-05,4.31458e-05
2e+30,4.07312e+12,1.24378e+13,-1.54025e+13,473908,201418,-202750,3.87891e-06,-5.35623e-06,3.02292e-05
2e+30,-3.88208e+12,1.53807e+13,2.19674e+13,471713,203482,206542,5.38015e-06,-2.31869e-05,-3.21644e-05
2e+30,6.03134e+12,-4.85197e+13,-1.56312e+13,165094,285997,-87899,-6.74086e-06,6.1415e-05,2.42134e-05
2e+30,1.89335e+13,-4.68712e+13,2.65247e+13,168719,-149634,-8.83179e+06,-2.43918e-05,8.66107e-05,-4.34819e-05
2e+30,-1.86819e+13,-3.28867e+11,2.43617e+13,-6.46581e+07,-4.31019e+06,-6.72258e+07,3.44439e-06,-1.50576e-05,-4.31828e-05
2e+30,3.09282e+13,-4.49972e+12,-4.42123e+13,179438,-76465.1,-181388,-3.61691e-05,3.14975e-05,5.73764e-05
2e+30,-4.79917e+13,-2.86529e+13,6.68168e+12,36877.1,-94875.5,101201,7.11631e-05,1.88564e-05,-4.75352e-05
2e+30,-2.10549e+13,-1.30836e+13,2.75117e+13,149013,-152051,167484,-6.16035e-05,-3.71048e-05,-9.42966e-05
2e+30,1.04124e+13,3.32983e+13,2.10118e+13,292048,73780.3,727754,-5.35656e-06,-5.57543e-05,-4.47426e-05
2e+30,1.56268e+13,-3.92581e+13,3.96998e+13,114179,-2735.2,-7850.74,-3.55451e-05,7.88223e-05,-9.61276e-05
2e+30,7.24029e+12,-3.12786e+13,4.7395e+13,164710,-91331.1,-289485,-1.20692e-05,3.64976e-05,-7.21961e-05
2e+30,7.0088e+12,-2.28588e+13,-4.76197e+13,165227,-91336.7,286611,-6.08998e-06,1.45471e-05,7.51487e-05
2e+30,-4.77802e+13,-2.91806e+13,-4.50526e+13,55151.3,-91686.5,4766.86,6.67781e-05,4.63335e-05,9.52305e-05
2e+30,9.62021e+12,3.32298e+13,-1.97695e+13,294083,74785.2,-729808,-8.72611e-06,-4.23058e-05,2.83654e-05
2e+30,2.36211e+13,-4.18926e+13,-2.45392e+13,43462.6,-85604.7,-169485,-7.68474e-05,9.29357e-05,3.94592e-05
2e+30,3.63541e+13,-4.18739e+13,-3.85432e+13,118782,-86719.7,-111880,-4.74118e-05,7.56032e-05,5.48704e-05
2e+30,2.96989e+12,-3.33356e+13,7.8145e+11,100542,-166026,101765,-1.57183e-05,4.01734e-05,5.34254e-06
2e+30,-3.45665e+13,4.86767e+13,4.05102e+13,72298.4,-164651,109716,4.04762e-05,-8.49103e-05,-5.33533e-05
2e+30,-3.50929e+13,1.13764e+13,-1.37381e+13,64728.4,-1.01004e+06,1.01037e+06,5.25985e-05,-2.67658e-05,1.29542e-05
2e+30,9.27445e+12,-1.79723e+13,-3.38077e+13,295697,-726364,-73327.7,3.6408e-05,6.37771e-05,6.47967e-05
2e+30,2.34479e+13,3.3356e+13,3.98844e+13,168677,-8.82614e+06,145149,-2.88787e-05,-5.18032e-05,-8.16486e-05
2e+30,2.34474e+13,3.65004e+13,-3.46019e+13,170877,-8.82485e+06,-143158,-3.32131e-05,-5.87879e-05,5.98584e-05
2e+30,1.05433e+13,-1.6568e+13,2.45721e+13,296033,-727056,72865.5,-1.10755e-07,1.7354e-05,-3.95199e-05
2e+30,-3.34835e+13,1.1471e+13,1.12048e+13,70142.1,-1.00958e+06,-1.01278e+06,4.16841e-05,-1.31689e-05,-5.87494e-06
2e+30,-3.64192e+13,4.9036e+13,-4.98459e+13,67609.7,-167588,-110900,3.16935e-05,-5.71099e-05,5.97992e-05
2e+30,-9.14859e+12,-3.22924e+13,4.41025e+12,92496.6,-161138,-90384,4.70207e-06,3.45203e-05,2.08488e-06
