m,x,y,z,vx,vy,vz,ax,ay,az
2e+30,-1.08654e+13,2.75486e+13,-3.52549e+12,168923,180341,173377,9.99442e-06,-6.73859e-05,1.06457e-05
2e+30,4.14129e+13,3.97491e+13,-3.81921e+13,-20164.6,-23979.7,75850.7,-5.52868e-05,-3.89262e-05,3.94882e-05
2e+30,1.87204e+11,-7.89635e+11,1.44179e+13,96772.5,105388,174532,-5.30897e-06,-5.30143e-06,-4.28371e-05
2e+30,-2.64646e+13,2.45864e+13,4.87616e+13,119382,142261,90276.2,2.97998e-05,-6.61389e-06,-8.41131e-05
2e+30,9.03967e+12,-1.07223e+12,-2.2946e+13,174743,177437,70905.8,-2.21008e-05,3.10228e-06,3.03456e-05
2e+30,3.41911e+13,-5.18777e+12,1.08037e+13,176531,171876,-11706.3,-3.61266e-05,1.81395e-05,-9.48601e-06
2e+30,4.45845e+12,-4.85077e+13,4.99783e+13,98821.5,52241.8,-89658.5,-1.04896e-05,6.06858e-05,-6.04824e-05
2e+30,-9.61591e+11,-2.09931e+12,-1.96839e+13,102020,100525,-176291,1.25149e-05,1.15417e-06,2.61737e-05
2e+30,-3.91057e+13,-3.89413e+13,-4.5237e+13,66772.9,68477.5,-60235,3.81755e-05,4.94167e-05,6.19364e-05
2e+30,1.29838e+13,1.1116e+13,-1.2707e+13,177716,177738,-175028,-2.49555e-05,-2.42093e-05,1.94929e-05
2e+30,1.25117e+13,1.11481e+12,3.84388e+13,227714,138953,146046,-5.58267e-06,1.12809e-05,-4.51235e-05
2e+30,3.25047e+13,4.29665e+12,-2.57958e+13,5912.91,175256,118081,-2.42923e-05,-2.11829e-05,1.96002e-05
2e+30,4.77168e+13,-1.7808e+13,3.87942e+13,59992.8,123071,171445,-6.56846e-05,2.14977e-05,-4.53048e-05
2e+30,3.90627e+13,-2.15652e+12,-3.91995e+13,7865.94,202826,293759,-5.5098e-05,5.90736e-07,5.61539e-05
2e+30,-4.95614e+12,1.79835e+13,-1.03614e+13,-6.85589e+07,7.96536e+07,8.30951e+06,-2.31393e-05,-5.11543e-05,8.06442e-05
2e+30,2.40105e+13,5.58862e+12,4.68829e+13,-4.74069e+07,4.30558e+07,-4.40168e+06,-8.3623e-05,-4.25978e-05,-8.56234e-05
2e+30,-4.70861e+13,3.37663e+13,1.67865e+13,105949,136716,-159698,5.73117e-05,-4.18258e-05,-2.44058e-05
2e+30,3.79081e+12,-1.31132e+13,-3.45998e+13,98303.7,123422,-170704,-1.14885e-05,2.27628e-05,4.31657e-05
2e+30,1.38045e+13,2.21104e+13,4.18233e+13,141615,100561,-106536,-1.74944e-05,-3.31852e-05,-6.47684e-05
2e+30,1.22502e+13,6.95823e+12,-1.59284e+13,64372.8,73327,-60251.6,-2.62688e-05,-2.67527e-05,2.02383e-05
2e+30,-7.52271e+12,8.12087e+12,5.33477e+12,102039,168711,104091,5.3386e-05,-2.47381e-05,-2.25173e-05
2e+30,4.41261e+13,4.4595e+13,-2.1867e+13,58927.8,168527,124585,-5.71749e-05,-7.07655e-05,2.26455e-05
2e+30,4.46819e+13,-5.34229e+12,-7.88129e+12,61485.3,1.01206e+06,1.00935e+06,-6.69475e-05,9.605e-06,7.44007e-05
2e+30,3.03561e+13,4.85472e+12,-8.8779e+12,293894,724934,-83310.3,-6.34823e-05,-3.10124e-06,2.65767e-05
2e+30,9.94925e+12,2.03454e+13,5.22573e+11,172822,8.82859e+06,152294,-2.78222e-05,-3.26017e-05,1.41972e-07
