m,x,y,z,vx,vy,vz,ax,ay,az
2e+30,1.19085e+13,3.43276e+13,1.49193e+13,168033,177830,170026,-4.08441e-05,-6.31041e-05,1.85248e-05
2e+30,3.17248e+13,3.29789e+13,-2.18629e+13,36573.8,36380,83894,-7.09427e-05,-6.39848e-05,4.02681e-05
2e+30,2.45311e+12,-2.63529e+12,3.28445e+13,101543,100157,164372,-5.59977e-06,1.00867e-06,-4.29074e-05
2e+30,4.50602e+13,-2.88353e+13,4.04273e+13,115056,142108,93408.7,-8.09347e-05,3.8678e-05,-3.5015e-05
2e+30,2.57874e+13,1.41551e+13,9.99561e+12,170915,171253,77324.8,-3.3467e-05,-3.14554e-05,-1.54192e-05
2e+30,3.99308e+13,1.41582e+13,1.08736e+13,179484,169412,11380.9,-4.99149e-05,-3.31737e-05,-2.22534e-05
2e+30,5.8659e+12,-2.67161e+13,-4.15361e+13,98249.4,75388.5,-93945.8,-2.60466e-06,3.73241e-05,5.71082e-05
2e+30,5.96099e+11,-6.9677e+11,-3.31367e+13,98722.3,101102,-167532,2.16585e-06,-2.33338e-05,5.01499e-05
2e+30,-1.91672e+13,-2.1254e+13,3.4536e+13,83905.8,83847.7,-65668.5,-1.94948e-06,3.71489e-05,-8.73151e-05
2e+30,2.58751e+13,2.4505e+13,-2.6689e+13,172944,169507,-171752,-6.4905e-05,-5.34574e-05,6.37331e-05
2e+30,-2.95459e+13,-4.41553e+13,-2.52577e+13,224493,129289,153245,3.27323e-05,0.000107514,3.9238e-05
2e+30,2.24358e+12,1.86271e+13,4.76503e+13,43917.2,172242,112613,-1.67349e-06,-1.2355e-05,-0.000101164
2e+30,-3.42232e+13,-4.84651e+13,-4.89644e+13,69048.2,111108,167527,2.7411e-05,6.24073e-05,7.20796e-05
2e+30,2.00171e+12,-2.0496e+13,4.10964e+13,50387.7,205321,292156,5.09067e-06,3.27071e-05,-4.98892e-05
2e+30,3.74154e+13,-7.04258e+12,1.59758e+13,-6.85563e+07,7.96519e+07,8.30837e+06,-6.33119e-05,1.41441e-05,-2.47863e-06
2e+30,2.33872e+13,5.50222e+12,1.26403e+12,-4.74066e+07,4.30556e+07,-4.40227e+06,-3.41843e-05,-3.94509e-07,-8.12718e-06
2e+30,3.04969e+13,-1.67915e+13,-1.82003e+13,112684,143877,-151600,-2.46224e-05,2.88595e-05,5.43126e-05
2e+30,3.3299e+12,-4.15371e+13,-4.8644e+13,101748,116671,-164901,-4.96767e-06,4.81796e-05,5.68535e-05
2e+30,-3.70449e+13,1.56819e+13,-3.7559e+13,138075,102756,-111007,6.66097e-05,-3.46494e-05,5.7173e-05
2e+30,4.68801e+13,-4.989e+13,4.96356e+13,41067.6,21881.4,-39653.7,-5.15671e-05,5.08381e-05,-5.58376e-05
2e+30,-4.4218e+12,3.24801e+13,1.19097e+12,97336.6,158141,106042,4.0316e-05,-1.95507e-05,1.05066e-06
2e+30,-3.57758e+13,-4.50886e+13,4.87571e+13,68884.6,170010,106802,8.99897e-05,0.000152488,-3.4404e-05
2e+30,-3.64971e+13,2.02095e+12,2.90754e+12,65342.5,1.01332e+06,1.01037e+06,5.6337e-05,-1.60998e-05,-2.65034e-05
2e+30,1.36876e+13,2.18377e+13,-3.23865e+13,295429,725264,-69490.2,1.36794e-05,-4.09139e-05,6.02765e-05
2e+30,2.55387e+13,-1.45463e+13,4.19211e+13,170538,8.82857e+06,146225,-2.57754e-05,1.58095e-05,-7.59709e-05
2e+30,2.59003e+13,-1.77574e+13,-3.62861e+13,172007,8.82911e+06,-142264,-4.09062e-05,4.53523e-05,8.93244e-05
2e+30,1.76407e+13,2.9872e+13,1.91926e+13,294984,729652,74357.1,-2.43902e-05,-4.65365e-05,-1.64347e-05
2e+30,-2.41345e+13,2.6452e+12,-2.59942e+12,83046.2,1.01398e+06,-1.01109e+06,4.06572e-05,-2.23627e-06,-7.43382e-06
2e+30,-3.53457e+13,-4.42159e+13,4.91069e+13,64158.7,169552,-109220,-1.30419e-05,-5.50973e-05,-0.000120966
2e+30,3.74415e+11,2.89393e+13,5.6019e+11,99807.7,164554,-97499.4,2.01564e-05,-3.03257e-05,-7.42593e-07
2e+30,-1.34711e+12,2.95023e+13,4.62084e+13,163724,91234.3,114931,1.17352e-05,-2.328e-05,-5.80957e-05
2e+30,-1.77862e+12,9.14716e+12,2.97103e+13,-62159.2,3605.39,237122,6.86403e-06,-4.55918e-06,-3.86203e-05
2e+30,1.3171e+13,-2.22528e+13,2.50673e+13,287914,-64863.8,717059,-1.76289e-05,3.91201e-05,-4.59838e-05
2e+30,-4.84775e+13,2.43736e+13,3.26991e+13,128148,95407.9,99365.1,7.90965e-05,-3.25055e-05,-3.7085e-05
2e+30,-3.04681e+13,-1.82525e+13,1.45747e+13,270568,191567,-248310,5.98271e-05,1.80376e-05,-1.47022e-05
2e+30,-2.04714e+13,9.78336e+12,-1.51813e+13,207256,150837,310203,2.11101e-05,-1.73033e-05,2.00958e-05
2e+30,-3.22067e+13,1.58013e+13,-2.34878e+13,78687.8,95354.6,-92659.4,5.19767e-05,-2.08782e-05,4.51383e-05
2e+30,3.19175e+13,-1.67963e+13,-2.18679e+13,302822,-72741.9,-722438,-6.71955e-05,3.37423e-05,6.17641e-05
2e+30,-4.31571e+13,-4.0708e+13,-3.35429e+13,194431,238475,-238787,7.64573e-05,4.42928e-05,4.83587e-05
2e+30,1.57767e+13,-4.91039e+13,-8.38914e+12,103145,94761.6,-99887.4,-5.78258e-05,7.24664e-05,5.5785e-05
2e+30,-2.76355e+13,6.04393e+12,2.88686e+13,204133,75165.6,174475,2.17229e-05,-5.00243e-06,-5.19622e-05
2e+30,-2.74306e+12,-2.3648e+13,4.47591e+12,1.04513e+08,1.01122e+09,-2.58352e+08,3.49235e-05,-1.54199e-05,-5.30491e-05
2e+30,2.54888e+13,4.4066e+13,-1.62523e+13,168738,146501,8.832e+06,-5.32227e-05,-5.9895e-05,2.32654e-05
