m,x,y,z,vx,vy,vz,ax,ay,az
2e+30,4.31984e+13,-3.22979e+13,4.65329e+13,159114,178296,162355,-7.68478e-05,1.85574e-05,-8.27877e-05
2e+30,3.77452e+13,3.88164e+13,-5.56173e+12,26975.7,25902.8,86703.1,-4.9299e-05,-7.10842e-05,1.05864e-05
2e+30,2.14171e+13,1.62228e+13,-3.64236e+13,96423.7,97828.4,164332,-4.51915e-05,-1.54294e-05,5.59771e-05
2e+30,-3.30412e+13,-1.33828e+12,-4.24132e+13,118478,146890,92791.6,3.25809e-05,3.96247e-06,4.76594e-05
2e+30,-4.26723e+13,4.60735e+13,2.43146e+13,164211,163765,72788.8,4.95328e-05,-7.4201e-05,-2.06507e-05
2e+30,-2.6071e+13,4.57192e+13,1.27705e+13,182216,161509,8468.65,1.33632e-05,-9.07741e-05,-8.4071e-06
2e+30,2.42071e+13,-1.18728e+13,4.12239e+13,93167.6,80317,-94468.9,-2.98703e-05,2.84162e-05,-9.33169e-05
2e+30,1.90323e+13,1.82764e+13,3.53355e+13,94393,97543.2,-169279,-2.83531e-05,-2.28929e-05,-6.7823e-05
2e+30,-2.9185e+12,-4.90117e+12,2.11677e+13,86186.6,87063.4,-73455.8,-1.37912e-06,3.39078e-07,-2.15845e-05
2e+30,-4.24883e+13,-4.41028e+13,4.16697e+13,163768,165442,-166746,2.92439e-05,6.27866e-05,-5.7129e-05
2e+30,1.33852e+13,-1.85662e+13,4.21379e+12,225801,137853,155883,-2.08051e-05,2.38242e-05,-1.57716e-06
2e+30,1.04433e+13,-4.92088e+13,-3.04875e+13,41986.5,165006,118745,-7.37932e-06,7.56488e-05,2.90017e-05
2e+30,-2.04076e+13,-2.60055e+13,-1.60278e+13,76180.9,123954,176956,2.95472e-05,5.35519e-05,2.04861e-05
2e+30,1.16399e+13,1.85532e+13,-2.93219e+12,47811.8,203667,297757,-1.27077e-05,-1.59009e-05,5.77253e-07
2e+30,6.21522e+12,3.31875e+13,-4.79364e+12,-6.85565e+07,7.9652e+07,8.30821e+06,-9.73303e-06,-2.9263e-05,6.32895e-06
2e+30,1.2307e+13,-1.05135e+13,-3.54984e+13,-4.74072e+07,4.30554e+07,-4.40204e+06,-3.09221e-05,2.51961e-06,6.10672e-05
2e+30,-4.90357e+13,1.06526e+13,-4.63858e+13,103367,143017,-144669,8.96614e-05,6.45411e-07,2.32359e-05
2e+30,2.22969e+13,-1.88292e+13,1.90945e+13,97695.6,121871,-174647,-4.16373e-05,2.3138e-05,-2.07427e-05
2e+30,-1.01679e+13,3.45378e+13,4.23364e+13,143252,95155.2,-107132,3.18143e-06,-3.97654e-05,-7.35363e-05
2e+30,-4.54452e+13,-4.45992e+13,4.1158e+13,45315.4,34110.5,-49488.2,9.13355e-05,5.61627e-05,-3.60138e-05
2e+30,1.40102e+13,-3.79239e+13,2.10415e+13,95294,158295,101500,-2.22885e-05,5.90674e-05,-3.47101e-05
2e+30,-2.20334e+13,-1.17444e+13,-2.98859e+13,75315,177998,118861,0.000195137,-0.000207074,0.000187143
2e+30,-2.31886e+13,-5.66138e+12,-5.32599e+12,73809.7,1.01159e+06,1.00871e+06,3.39341e-05,5.80351e-06,-7.18466e-07
2e+30,-3.08074e+13,-4.03949e+13,-4.46541e+13,292440,723957,-59798.1,3.12081e-05,5.08531e-05,7.5245e-05
2e+30,-4.28498e+13,-3.64076e+13,-3.07281e+13,164261,8.82863e+06,146668,7.44773e-05,5.43671e-05,3.48887e-05
2e+30,-4.2372e+13,-3.94921e+13,3.73265e+13,164457,8.82982e+06,-140713,6.437e-05,5.4729e-05,-3.598e-05
2e+30,-2.68632e+13,-3.14347e+13,3.26616e+13,293516,730383,66719.4,4.35439e-05,8.39307e-05,-0.000118037
2e+30,-7.76712e+12,-4.80533e+12,5.28638e+12,88238.7,1.01347e+06,-1.01107e+06,5.64396e-06,1.67647e-05,-8.60411e-06
2e+30,-2.2474e+13,-1.12693e+13,2.70012e+13,71330.7,176387,-122037,1.67128e-05,2.68817e-05,-3.37964e-05
2e+30,1.90019e+13,-4.04819e+13,-1.77965e+13,95393.6,161817,-94729.4,-1.83854e-05,7.34148e-05,1.91122e-05
2e+30,2.94955e+13,4.6166e+13,-3.16218e+13,159335,82238.6,120625,-3.45954e-05,-7.72344e-05,3.91207e-05
2e+30,-1.33419e+13,9.50541e+12,-2.54954e+13,-59131.9,292.588,238012,1.61189e-05,1.2678e-06,3.42094e-05
2e+30,-3.27548e+13,-3.39505e+13,-3.87421e+13,284806,-58122.7,716174,3.82758e-05,4.76559e-05,6.19294e-05
2e+30,-2.29088e+13,4.17354e+13,-4.94821e+13,137949,86709.8,87944.7,1.73776e-05,-5.31161e-05,8.05943e-05
2e+30,2.13366e+13,1.82555e+13,-3.25845e+13,271975,191267,-245666,-3.85171e-05,-1.3607e-05,4.29775e-05
2e+30,1.90058e+13,3.7961e+13,4.37701e+13,207407,144238,307284,-3.78362e-05,-3.48972e-05,-9.8942e-05
2e+30,-1.63439e+13,3.31695e+13,-3.99615e+13,86405.3,86619.3,-79506.3,1.67542e-05,-5.22586e-05,7.8695e-05
2e+30,-1.05962e+13,-3.01249e+13,4.09779e+13,305905,-66541.9,-720675,3.32793e-06,3.98099e-05,-5.79794e-05
2e+30,-5.46697e+12,5.15504e+12,2.13476e+13,199855,242213,-239839,5.30931e-06,-6.36135e-06,-2.31428e-05
2e+30,3.48918e+13,-2.9764e+13,-2.70273e+13,96120.8,108345,-94587.2,-5.776e-05,4.24751e-05,4.13836e-05
2e+30,1.15079e+13,2.00236e+13,-3.86649e+13,206320,70897.7,172174,-6.34792e-06,-3.14762e-05,6.09575e-05
2e+30,-3.69895e+13,-1.07854e+13,-3.20167e+12,1.04512e+08,1.01122e+09,-2.58353e+08,5.43994e-05,-6.38972e-07,-2.12272e-05
2e+30,-4.31442e+13,-2.80221e+13,-3.74875e+13,164565,150405,8.83189e+06,6.52277e-05,3.40273e-05,5.5501e-05
2e+30,-1.45889e+13,8.02714e+12,-3.02993e+13,190987,-283116,104407,2.84996e-05,-5.04033e-06,5.06699e-05
2e+30,2.44854e+12,4.7905e+13,3.94596e+13,476030,-196215,-195900,-1.47821e-05,-5.02707e-05,-3.208e-05
2e+30,1.00818e+13,3.94501e+13,-3.84361e+13,475067,-202548,201229,-6.97786e-05,-6.25916e-05,0.000168489
2e+30,3.72159e+13,-3.2548e+13,-2.51062e+13,159247,-304396,-79578.3,-8.94319e-05,5.77146e-05,4.73463e-05
2e+30,4.82117e+13,-1.81723e+13,3.39513e+13,157552,163272,-8.83145e+06,-7.57568e-05,2.38943e-05,-3.83871e-05
2e+30,1.68327e+13,4.62009e+13,2.9844e+13,-1.73816e+08,2.27235e+07,-1.62176e+08,-5.22356e-05,-7.54262e-05,-9.55405e-05
2e+30,3.6963e+13,3.31518e+13,4.52315e+13,162874,-30672.1,-163868,-4.94662e-05,-3.37706e-05,-8.2781e-05
2e+30,-1.1271e+13,-1.00372e+13,-1.76243e+13,193139,-74132.4,193734,2.41795e-05,1.26776e-06,4.32716e-05
2e+30,-2.47729e+13,-4.41156e+12,-3.89279e+13,-4.00318e+08,-1.58355e+08,4.14301e+08,7.03702e-06,-1.15015e-05,-3.44671e-05
2e+30,-4.27177e+13,3.33317e+13,-3.42432e+13,168685,-145843,8.83138e+06,6.94516e-05,-3.93808e-05,4.96201e-05
2e+30,-4.0017e+13,9.35752e+12,-1.57685e+13,170819,296022,116659,5.40552e-05,-2.97225e-06,3.00926e-05
2e+30,-6.00792e+10,-4.76927e+13,4.4209e+13,473726,192596,-196394,1.08047e-06,4.51251e-05,-3.59226e-05
2e+30,-8.40978e+12,-4.40084e+13,-3.69571e+13,470374,198695,202598,1.12822e-05,5.97944e-05,3.50737e-05
2e+30,3.91159e+13,1.02872e+13,-3.28927e+13,158800,290713,-81771.2,-5.41614e-05,-4.80019e-05,2.29221e-05
2e+30,-4.76775e+13,2.19933e+13,3.32892e+13,160365,-157671,-8.83205e+06,8.4299e-05,-2.82342e-05,-4.47809e-05
2e+30,-4.68892e+13,2.45748e+13,-2.51776e+13,-6.46585e+07,-4.30989e+06,-6.72259e+07,7.14975e-05,-3.70238e-05,2.28198e-05
2e+30,-3.3094e+13,-1.93403e+13,1.85599e+13,180080,-71122.5,-186737,4.44648e-05,1.4097e-05,-1.64197e-05
2e+30,-3.90353e+13,-4.70921e+13,2.67555e+13,50749.7,-84795.4,95954.8,6.11706e-05,0.000115165,-5.83606e-05
2e+30,9.23568e+12,-4.33952e+13,-3.92851e+13,147408,-144831,165042,-2.27103e-05,7.95004e-05,7.62679e-05
2e+30,-3.11571e+13,4.72242e+13,-3.13228e+13,287531,62511.4,726998,4.25657e-05,-5.52784e-05,4.66015e-05
2e+30,3.80091e+13,-3.86016e+13,3.66683e+13,105796,8448.43,-19841.7,0.00014525,3.83093e-06,-9.40368e-05
2e+30,4.01491e+13,-4.86628e+13,-1.22142e+13,158419,-79064.8,-294069,-4.92224e-05,8.31344e-05,1.73495e-05
2e+30,4.00477e+13,-4.06517e+13,1.13946e+13,159301,-82968.4,291427,-0.000278135,5.81674e-06,-0.00011293
2e+30,-3.5288e+13,-4.68349e+13,-4.29101e+13,66238.6,-80765.3,16065,5.25684e-05,8.32903e-05,6.00249e-05
2e+30,-3.11226e+13,4.71406e+13,3.21815e+13,293362,63341.3,-730068,3.94377e-05,-7.64667e-05,-3.72817e-05
2e+30,3.16382e+13,4.17297e+13,4.18942e+13,35885.8,-83360.1,-165276,-4.8504e-05,-4.45188e-05,-6.86332e-05
2e+30,-4.02931e+13,4.12065e+13,3.91179e+13,116482,-86854.9,-113963,6.77231e-05,-6.05751e-05,-6.49974e-05
2e+30,2.29439e+13,3.33622e+13,2.1192e+13,95364.9,-167947,97641.8,-5.1284e-05,-7.22418e-05,-3.41895e-05
2e+30,-1.93435e+13,1.41257e+13,-3.77715e+13,77823.8,-173899,111302,3.19203e-05,-1.96696e-05,5.8424e-05
2e+30,-2.08471e+13,6.50936e+12,-8.61695e+12,74190.1,-1.0093e+06,1.01141e+06,4.01169e-05,-6.15318e-06,1.05355e-05
2e+30,-3.12858e+13,3.47944e+13,-4.7413e+13,293100,-724348,-60539,4.39833e-05,8.28329e-05,0.000146289
2e+30,-4.30075e+13,4.12713e+13,-3.06674e+13,166118,-8.82627e+06,148925,6.10106e-05,-5.47581e-05,2.7838e-05
2e+30,-4.24434e+13,4.4624e+13,3.73326e+13,169554,-8.82555e+06,-139464,2.41433e-05,-8.25949e-05,-8.30365e-05
2e+30,-2.99611e+13,3.59794e+13,3.84872e+13,293881,-726080,63997.6,4.2066e-05,-6.78993e-05,-6.24182e-05
2e+30,-1.8461e+13,6.51206e+12,5.71905e+12,76762.8,-1.01023e+06,-1.01298e+06,5.33583e-05,-6.19389e-06,-1.0595e-05
2e+30,-2.17942e+13,1.38969e+13,2.63771e+13,74869.6,-177314,-123666,2.67431e-05,-2.71024e-05,-3.50559e-05
2e+30,9.87443e+12,3.5447e+13,-1.39222e+13,93343.6,-160819,-89038.8,-5.41699e-06,-4.98281e-05,1.56146e-05
2e+30,-4.68158e+12,1.57415e+13,-2.12941e+13,-120496,-140696,49202.3,1.86251e-06,-1.74516e-05,2.53628e-05
2e+30,-2.10096e+13,1.84019e+13,-1.0217e+13,80180.5,-191683,79629.3,2.92399e-05,-2.95361e-05,2.97753e-05
2e+30,-3.20782e+13,1.88981e+12,3.27861e+13,60749.8,-143816,211816,3.90286e-05,-3.93373e-06,-4.06494e-05
2e+30,-4.94848e+13,-1.82062e+13,-2.45932e+13,164728,-205432,27278.9,9.2756e-05,3.00065e-05,3.18891e-05
2e+30,4.75554e+13,2.18366e+13,2.02177e+13,5.66531e+08,4.25911e+08,3.522e+08,3.60122e-06,1.85804e-05,1.71069e-05
2e+30,-2.58529e+13,5.57342e+12,-3.00079e+13,-6.09464e+08,-4.06695e+08,-4.59667e+08,-3.72093e-05,-4.88854e-05,-1.37455e-05
2e+30,-3.36005e+13,1.60458e+12,4.45074e+13,62366.7,-132778,-89760.9,3.71161e-05,4.5945e-06,-5.23849e-05
2e+30,-1.75146e+13,3.40932e+13,6.9331e+11,76302.3,-111816,-185212,3.81181e-05,-5.62923e-05,5.30753e-05
2e+30,4.80517e+13,4.5225e+12,1.89254e+12,20048.6,-83550.3,-84327,-7.65942e-05,-3.92515e-05,7.59242e-06
2e+30,-2.43167e+13,4.82232e+13,2.49024e+13,72349.4,-22556.3,-75669.3,1.70221e-05,-0.000187988,-1.99872e-05
2e+30,-2.46985e+13,3.79126e+13,-3.89404e+13,176849,-175200,169397,3.1029e-05,-4.83184e-05,6.58445e-05
2e+30,7.00871e+12,-1.44234e+12,3.52155e+13,41851.2,-93923.6,99923.7,-1.69342e-05,-3.99985e-06,-3.89153e-05
2e+30,1.90571e+13,-1.79038e+13,-4.19522e+13,101128,-98560.5,154493,-1.6675e-05,2.43992e-05,6.69772e-05
2e+30,3.98632e+13,-4.50232e+13,-3.41484e+13,102809,-99918.9,98253.2,-5.64536e-05,9.52777e-05,3.95852e-05
2e+30,3.35714e+13,-3.39313e+13,3.73488e+13,154619,-156374,75224.4,-5.2358e-05,4.17661e-05,-5.54549e-05
2e+30,4.32099e+13,-4.12662e+13,-4.82862e+13,160081,-159663,-65125.9,-4.93976e-05,2.23828e-05,7.90807e-05
2e+30,-3.27722e+13,2.86438e+13,2.61463e+13,125484,-125222,-106768,4.81575e-05,-5.48768e-05,-4.363e-05
2e+30,2.12552e+13,-2.12076e+13,3.82339e+13,98742.4,-102763,-160826,-5.43911e-05,3.97114e-05,-8.57807e-05
2e+30,-4.486e+13,-3.72789e+13,-3.92501e+13,111040,-26972.1,-99628.7,6.46559e-05,4.34751e-05,5.57405e-05
2e+30,-4.99181e+13,-4.98574e+13,4.70201e+13,162672,-160923,-163615,6.03122e-05,6.7273e-05,-5.24407e-05
2e+30,4.36639e+13,-2.34622e+13,-2.81683e+13,16666.3,73969,71584.7,-7.71043e-05,2.64837e-05,1.8319e-05
2e+30,-3.53677e+13,-1.61972e+13,-3.45826e+13,117000,81503,116821,5.83744e-05,2.62419e-05,5.5347e-05
2e+30,-3.73193e+13,-2.4231e+13,-1.85871e+13,111409,74581.8,177089,7.75487e-05,3.90269e-05,2.84909e-05
2e+30,2.54916e+13,-2.32769e+13,-4.66442e+13,207067,129005,147183,-2.74331e-05,2.32132e-05,8.24579e-05
2e+30,-4.23707e+13,3.53916e+13,-8.11797e+12,6.88037e+07,-7.94011e+07,-7.52433e+06,6.61851e-05,-4.20543e-05,1.05781e-05
2e+30,-4.62797e+13,-2.26681e+13,4.89384e+13,4.76568e+07,-4.28057e+07,3.61969e+06,-0.000157229,6.4643e-05,-0.000125084
2e+30,4.71226e+12,-4.72058e+13,4.44752e+13,137450,34769.2,-86022.7,-2.06906e-05,5.77444e-05,-5.65232e-05
2e+30,-3.75717e+13,-1.6872e+13,2.38025e+13,110350,78329,-167668,5.16959e-05,2.53937e-05,-3.04173e-05
2e+30,5.37497e+12,-3.68178e+13,6.10176e+12,84226.4,58802.6,-83031.6,7.32034e-06,5.13859e-05,7.89887e-05
2e+30,-2.44616e+13,-4.42403e+13,7.086e+11,127927,42491.8,-45446.4,3.69057e-05,4.30195e-05,4.89701e-06
2e+30,-2.11171e+13,-2.13988e+13,-4.16975e+13,71430.2,66003.7,54458.2,4.90062e-05,7.6023e-06,6.14477e-05
2e+30,4.55848e+13,4.45575e+13,4.4037e+13,2.57917e+06,2.57697e+06,2.57641e+06,-4.6498e-05,-6.31517e-05,-6.66732e-05
2e+30,-4.87725e+13,-4.99953e+13,2.22537e+13,20653.3,13335,8.2229e+07,6.21516e-05,6.34751e-05,-7.0874e-06
2e+30,-4.32528e+12,-5.06398e+12,-6.85381e+12,189031,192915,171329,9.86509e-06,3.63369e-06,1.66802e-05
2e+30,-8.07484e+12,-9.20893e+12,3.84478e+13,80445.5,78055.9,704987,5.19609e-05,2.44862e-05,-5.2232e-05
2e+30,-1.25589e+13,-1.99963e+13,-3.46916e+13,71544.7,69255.3,-702106,2.54089e-06,1.77868e-05,5.27807e-05
2e+30,-2.99903e+13,-6.65393e+12,4.69374e+13,169376,188343,-212441,3.28978e-05,4.52208e-06,-7.49298e-05
2e+30,-4.81028e+13,4.94931e+13,-9.22321e+12,21175.8,9818.78,-8.22227e+07,3.28151e-05,-5.70043e-05,-7.7375e-06
2e+30,4.86916e+13,4.69555e+13,-4.99323e+13,2.5814e+06,2.57691e+06,-2.58412e+06,-5.16869e-05,-2.82954e-05,5.03306e-05
2e+30,-1.8095e+13,-2.08026e+13,1.65397e+13,72107.6,72429.9,-91258.9,2.57985e-05,4.23551e-05,-1.37748e-05
2e+30,-3.63283e+13,-1.73227e+13,-1.31786e+13,111353,173348,84896.7,8.18833e-05,2.07625e-05,2.60985e-05
2e+30,-1.64137e+13,4.52393e+13,4.44696e+13,129007,8.24747e+07,93725,2.96023e-05,-5.28432e-05,-7.08455e-05
2e+30,1.24792e+13,4.48921e+13,4.0076e+13,142108,196148,199469,-2.89914e-05,-7.53327e-05,-6.04974e-05
2e+30,2.68032e+13,-1.38546e+13,-2.17212e+13,849071,175153,107825,-4.57423e-05,5.4925e-06,4.93135e-05
2e+30,1.66852e+13,-4.50684e+13,-4.48937e+13,89116.2,209144,1.02865e+06,-3.03402e-05,6.00572e-05,7.52437e-05
2e+30,-4.24556e+13,-3.08977e+13,4.4142e+13,40042.6,218208,-1.0298e+06,7.97051e-05,3.79245e-05,-0.000116702
2e+30,2.99725e+13,-1.07992e+13,3.7728e+13,848231,175395,-93994.1,-6.95672e-05,1.28517e-05,-6.93229e-05
2e+30,-2.29298e+13,-4.6516e+13,2.25484e+13,178415,206986,-225223,4.4915e-05,7.6108e-05,-2.00075e-05
2e+30,-4.81165e+13,1.14163e+13,4.77438e+13,23789.6,8.22829e+07,-26217.2,6.06774e-05,4.37057e-05,-1.07592e-05
2e+30,-2.33184e+13,3.12632e+12,3.07059e+13,123405,187468,-65499.9,2.41537e-05,3.81762e-07,-4.45353e-05
2e+30,-1.45338e+13,-2.62024e+13,-2.12452e+13,126773,106211,76025.7,6.35283e-06,4.59575e-05,3.64407e-05
2e+30,4.57917e+13,-1.72287e+13,-1.13331e+13,152967,165816,187838,-7.33431e-05,2.15201e-05,1.12452e-05
2e+30,-1.90835e+13,-4.49509e+12,-7.44859e+12,819400,120738,178436,1.90855e-05,9.28604e-06,1.37274e-05
2e+30,-1.22577e+13,-3.72692e+13,-1.64022e+12,294465,216909,73902.7,3.60985e-05,4.45659e-05,-3.55658e-07
2e+30,-1.38732e+13,-4.34598e+13,-3.97697e+13,130206,208474,-75426.2,4.44647e-05,7.0416e-05,6.30518e-05
2e+30,-4.54818e+13,3.48156e+13,-4.47316e+13,94176,197787,78027.7,8.63868e-05,-3.00057e-05,7.41998e-05
2e+30,-1.25269e+13,-3.40182e+13,-5.63417e+12,411791,-260508,-72606.4,-4.87674e-06,3.47305e-05,6.08803e-06
2e+30,-4.15729e+13,-4.18453e+13,1.21877e+13,866460,89595,-173270,6.11008e-05,4.80296e-05,-2.33557e-05
2e+30,-4.43357e+13,2.12154e+13,2.40753e+13,160977,188211,-170800,7.54343e-05,-2.59924e-05,-1.86506e-05
2e+30,4.48368e+13,4.26276e+13,-2.09215e+13,214682,140072,264222,-0.000119247,-8.65111e-05,5.80769e-05
2e+30,2.29862e+12,-1.32134e+12,-3.25064e+13,-1.04263e+08,-1.01044e+09,2.58601e+08,-2.20384e-05,4.86502e-05,-7.67664e-05
2e+30,-1.32893e+13,-9.158e+12,-9.7735e+12,75878.2,623071,81646.8,1.746e-05,7.74926e-06,8.16302e-06
2e+30,-3.56304e+13,-3.02025e+13,4.06729e+13,876780,5.55589e+06,-2.67061e+06,2.92457e-05,3.87018e-05,-6.66675e-05
2e+30,-4.3928e+13,4.6038e+13,3.6329e+13,103991,-74569.9,198323,9.87438e-05,-0.000120504,-3.72493e-05
2e+30,6.36949e+12,-3.51035e+13,1.40731e+13,44324.2,3939.75,135492,-1.4218e-05,3.30639e-05,-2.10234e-05
2e+30,-3.87211e+13,-2.93515e+13,5.71486e+12,178847,538751,252579,4.7458e-05,4.47993e-05,-1.1574e-05
2e+30,-3.58459e+13,1.13201e+13,-4.15002e+13,110720,-112231,-200832,0.00018529,-2.65465e-05,6.90766e-05
2e+30,-8.98486e+12,4.55371e+12,4.77176e+13,-576310,3.11149e+06,-325982,2.81119e-05,-1.05604e-05,-6.12975e-05
2e+30,-2.16676e+13,-1.21671e+13,2.03749e+13,67116.9,679849,-68887.7,-0.000147088,0.000226741,-0.000153809
2e+30,4.88882e+13,4.28498e+13,4.93281e+12,1.74066e+08,-2.19386e+07,1.61927e+08,-5.29273e-05,-8.00118e-05,1.78275e-05
2e+30,-6.70344e+12,1.83033e+13,4.20344e+12,4.00569e+08,1.57572e+08,-4.14051e+08,3.83868e-05,1.27269e-06,-3.63167e-05
2e+30,-9.97675e+12,8.77808e+12,-5.73694e+12,77222.3,-624344,81040.6,1.76862e-05,-1.30065e-05,1.21808e-05
2e+30,-1.8725e+12,3.07065e+13,-3.15043e+12,-746934,-5.55622e+06,3.11252e+06,4.8101e-05,-3.34462e-05,6.95879e-05
2e+30,-4.30631e+13,-3.40106e+13,-4.78392e+13,103993,89785.2,206113,4.94917e-05,3.70046e-05,6.73402e-05
2e+30,2.16497e+13,4.54304e+13,1.68878e+13,38107.5,-6138.1,135547,-2.64419e-05,-7.24277e-05,-1.82817e-05
2e+30,-2.3641e+13,1.62547e+13,4.7232e+13,-118831,-545346,-524459,2.89897e-05,-1.26535e-05,-8.35079e-05
2e+30,-3.48573e+13,-3.86811e+13,-4.14929e+13,118689,88020.1,-201620,-9.69002e-05,4.91881e-05,7.1677e-05
2e+30,-2.9776e+13,-2.12424e+12,2.46438e+13,704705,-3.11067e+06,-107558,6.13461e-05,6.39744e-06,-5.31587e-05
2e+30,-7.56461e+12,1.32958e+13,3.90399e+11,75740.1,-678322,-83119.5,-1.70803e-05,3.96029e-05,-1.79359e-05
2e+30,1.31596e+13,-1.30474e+13,-4.07205e+13,6.49086e+07,3.52563e+06,6.69769e+07,-6.09053e-06,1.82089e-05,7.11074e-05
2e+30,1.29951e+12,-4.59633e+13,-3.15394e+13,135790,-81312.8,65517.8,-3.05687e-06,7.35525e-05,5.9543e-06
2e+30,4.09963e+13,6.31263e+12,-1.86256e+13,152722,-170513,181859,-6.51134e-05,3.58652e-06,3.58979e-05
2e+30,-6.61261e+12,3.28951e+13,1.17914e+13,886617,-97742.2,189440,-5.27896e-06,-3.71335e-05,-8.29903e-06
2e+30,2.60131e+13,8.59341e+12,4.64498e+12,374593,-14157.3,-5600.2,-4.62531e-05,-2.09588e-05,5.30302e-05
