m,x,y,z,vx,vy,vz,ax,ay,az
2e+30,-9.73355e+12,2.00843e+13,-4.92146e+12,168727,179078,173732,-2.49514e-05,-1.10125e-05,-1.38e-05
2e+30,4.35408e+13,4.42854e+13,1.9171e+13,11608.6,11032.7,81276.1,-5.72744e-05,-5.98305e-05,-3.7976e-05
2e+30,4.68601e+13,4.31286e+13,1.27051e+13,78779.8,85710.4,170622,-5.583e-05,-7.32425e-05,-3.6579e-05
2e+30,2.59279e+12,4.04113e+13,-1.33842e+13,124804,137941,106347,-5.00146e-07,-5.86821e-05,2.58187e-05
2e+30,6.58399e+12,-4.77794e+12,4.31952e+13,173160,175567,55328.4,1.16322e-05,2.66368e-05,-8.00948e-05
2e+30,2.69578e+13,-6.08679e+12,1.4448e+13,179832,171657,1866.75,-4.76045e-05,5.53113e-06,-3.56225e-05
2e+30,4.92356e+13,1.15952e+13,1.17967e+13,78031.1,80015.3,-106942,-9.59518e-05,-2.38958e-05,-2.64504e-05
2e+30,4.47625e+13,4.42205e+13,-1.53536e+13,81155.6,81275.5,-174942,-6.6452e-05,-6.30545e-05,3.64706e-05
2e+30,2.11803e+13,1.97999e+13,-1.16591e+12,78335.5,81568.4,-79786,-3.5972e-05,-4.05002e-05,-1.22539e-05
2e+30,7.66016e+12,6.41104e+12,-9.01152e+12,179174,179211,-177525,-2.86885e-05,-2.08029e-05,4.05096e-05
2e+30,-2.23079e+13,2.14634e+13,4.811e+13,224694,136185,143652,3.56473e-05,-2.75124e-05,-8.17775e-05
2e+30,2.15862e+13,9.28239e+11,5.10802e+12,32898.6,177879,124503,-5.95536e-05,2.9183e-05,-1.69241e-05
2e+30,2.87687e+12,1.0803e+13,3.484e+13,82280.5,126965,170585,-8.20965e-06,-1.86163e-05,-4.7238e-05
2e+30,2.44105e+13,-2.34895e+13,-1.73082e+13,38863.3,203372,298588,-4.29971e-05,2.498e-05,2.67405e-05
2e+30,-3.70251e+13,-1.22179e+13,6.46499e+10,-6.85582e+07,7.96527e+07,8.30933e+06,4.9061e-05,3.28673e-05,-4.67358e-06
2e+30,-9.23997e+12,-4.85434e+13,-9.668e+12,-4.74072e+07,4.30555e+07,-4.40217e+06,2.07824e-05,-7.5974e-05,2.34658e-05
2e+30,-1.67921e+13,-4.94647e+13,9.85858e+12,117359,129343,-158200,2.60677e-05,7.91153e-05,-2.48489e-05
2e+30,4.83675e+13,1.68215e+13,-3.13806e+13,80835.3,121691,-170222,-7.04956e-05,-4.19727e-05,5.49994e-05
2e+30,3.09258e+13,-3.93844e+13,9.51047e+12,138108,93494.7,-117915,-4.21785e-05,7.62643e-05,-2.96322e-05
2e+30,-2.9653e+13,-3.20387e+13,2.48797e+13,63561.8,53100.1,-63353.7,5.19242e-05,5.24555e-05,-3.77574e-05
2e+30,3.98695e+13,9.71568e+12,4.7822e+13,82872.4,165974,82589.5,-4.40979e-05,-1.98185e-06,-7.55842e-05
2e+30,7.63766e+11,3.95872e+13,6.47126e+12,79506,171687,127806,1.08559e-06,-5.15401e-05,-2.00493e-05
2e+30,-4.38331e+11,-1.31604e+13,-1.34429e+13,81751.7,1.01093e+06,1.00914e+06,4.44562e-06,4.14606e-05,3.64601e-05
2e+30,-4.59755e+13,-3.04785e+13,3.83124e+13,289660,724906,-66638.8,5.64237e-05,4.7255e-05,-5.20971e-05
2e+30,6.96868e+12,1.89563e+13,1.31303e+13,176849,8.82881e+06,150469,-2.34841e-05,-5.74172e-05,-1.91216e-05
2e+30,7.7293e+12,1.63446e+13,-4.87483e+12,177054,8.83123e+06,-148690,-2.57977e-05,-1.90584e-05,7.41782e-06
2e+30,-4.20667e+13,-1.98613e+13,4.94925e+13,289768,731444,48546.8,4.69212e-05,2.94977e-05,-6.86367e-05
2e+30,1.73184e+13,-1.17093e+13,1.2712e+13,81103.8,1.01433e+06,-1.01347e+06,-3.39181e-05,3.07403e-05,-3.95948e-06
2e+30,-4.49148e+11,3.92706e+13,-9.61105e+12,79293.3,168388,-127258,1.05863e-05,-5.96419e-05,2.09106e-05
2e+30,4.43521e+13,8.72853e+12,-4.28575e+13,79632.4,173050,-78747.6,-5.56449e-05,1.12701e-05,5.53463e-05
2e+30,-2.53133e+13,-2.9275e+13,4.81823e+12,160997,92678,128680,4.93189e-05,4.31016e-05,-1.54014e-05
2e+30,-2.90047e+13,9.01259e+12,4.35939e+13,-47696.5,-3969.37,233736,3.56352e-05,-1.62301e-05,-6.39062e-05
2e+30,4.9965e+13,-4.82806e+13,-3.10622e+13,281057,-40196.2,717695,-7.28106e-05,5.05061e-05,3.60931e-05
2e+30,1.71864e+13,-3.3283e+13,-2.15604e+13,137429,94722.5,104873,0.000231179,0.000324405,-6.99621e-05
2e+30,-3.02142e+11,-2.72619e+13,-3.38523e+12,274365,192034,-247673,-3.55938e-06,4.6694e-05,-9.41395e-06
2e+30,-2.16323e+13,-2.06263e+13,3.36023e+13,210165,148971,308924,3.7349e-05,2.87364e-05,-7.31474e-05
2e+30,9.18348e+12,-4.35827e+13,3.8688e+13,88435.7,80810.7,-77388.8,-1.26513e-05,4.76263e-05,-5.15782e-05
2e+30,-2.26947e+13,-4.71332e+13,3.2371e+13,304142,-49961.5,-720196,2.97812e-05,7.25085e-05,-4.40199e-05
2e+30,-4.84281e+13,-2.57356e+13,-4.79671e+13,191373,239971,-234221,6.34973e-05,2.9637e-05,6.3843e-05
2e+30,-3.93413e+13,2.88152e+12,4.78776e+13,90752.6,114912,-80800.2,5.42793e-05,-1.21956e-06,-6.51121e-05
2e+30,-3.06872e+13,3.87659e+13,1.33336e+13,200593,56790.4,181583,6.83636e-05,-5.52696e-05,2.30564e-05
2e+30,1.29892e+13,-2.29964e+13,1.92287e+13,1.04512e+08,1.01122e+09,-2.58352e+08,1.67813e-05,3.00247e-05,-6.87514e-05
2e+30,6.43191e+12,1.64233e+13,1.88902e+13,174176,152212,8.83249e+06,-1.66481e-05,-3.56176e-05,-4.76058e-05
2e+30,4.04713e+13,2.69699e+13,1.12573e+12,185386,-280687,110523,-3.58075e-05,-7.28313e-05,-4.60509e-05
2e+30,3.96383e+13,-1.10149e+13,-1.84117e+13,471036,-206903,-199300,-7.4677e-05,2.22074e-05,3.1575e-05
2e+30,4.68804e+13,-2.07056e+13,2.10669e+13,469220,-208102,205166,-0.000161939,4.23281e-05,-3.69209e-05
2e+30,-1.66973e+13,-2.0581e+13,-4.62504e+13,164851,-304595,-64400.2,2.51188e-05,4.66939e-05,7.59016e-05
2e+30,-4.34556e+12,2.92023e+13,-2.21954e+13,168664,160071,-8.83122e+06,2.15595e-05,-4.21581e-05,3.06382e-05
2e+30,7.37627e+12,2.34457e+13,-1.03755e+13,-1.73817e+08,2.27241e+07,-1.62176e+08,-2.85589e-05,-3.72291e-05,-5.63406e-05
2e+30,-1.58781e+13,2.24411e+13,-4.0961e+12,169572,-42757.5,-173290,2.58531e-05,-3.80438e-05,-8.49723e-06
2e+30,4.38364e+13,-3.04983e+13,3.8378e+13,183330,-66005.1,188518,-6.61703e-05,3.60685e-05,-6.23739e-05
2e+30,6.9942e+12,-3.86641e+13,-2.35329e+13,-4.00319e+08,-1.58355e+08,4.14301e+08,-6.36848e-05,3.53266e-05,-5.67632e-05
2e+30,8.08107e+12,-1.02189e+13,2.18158e+13,178042,-151649,8.83065e+06,-7.32948e-06,1.94902e-05,-6.83349e-05
2e+30,1.07128e+13,-5.18582e+12,1.81026e+13,176664,298917,113848,-1.89777e-05,-1.84095e-06,-5.02499e-05
2e+30,3.65184e+13,1.04075e+13,-1.42655e+13,470605,204740,-202955,-6.21979e-05,-2.8202e-05,1.96771e-05
2e+30,2.76441e+13,1.57123e+13,2.23683e+13,471344,208540,202696,-4.14105e-05,-3.39936e-05,-4.1336e-05
2e+30,-1.49969e+13,-6.17835e+12,4.54511e+13,163616,291175,-73764.9,4.62585e-05,2.32503e-05,-0.000113701
2e+30,9.01886e+11,-2.40651e+13,-2.30333e+13,171889,-156137,-8.83191e+06,1.54536e-05,4.09016e-05,5.55718e-05
2e+30,3.8373e+13,-2.27974e+13,1.70136e+13,-6.46582e+07,-4.30944e+06,-6.72255e+07,-6.14422e-05,5.41274e-05,-4.98172e-05
2e+30,2.00627e+13,-3.83674e+13,-3.54652e+13,184084,-58946.7,-181894,-3.10462e-05,5.32591e-05,5.65577e-05
2e+30,-2.23776e+13,2.72142e+13,-4.75338e+13,63433.4,-95254.6,83202.7,3.47332e-05,-3.36409e-05,7.4748e-05
2e+30,-4.96793e+13,1.37241e+13,9.99154e+12,132740,-154383,171943,8.39642e-05,-2.53922e-05,-5.69492e-06
2e+30,-4.72416e+13,-3.3835e+13,-2.05687e+13,285984,73834.2,728598,6.1726e-05,3.83967e-05,2.80547e-05
2e+30,-3.24962e+13,-3.38256e+13,2.90367e+13,108015,24434.7,-32813.4,0.000104906,0.000141465,-0.000115378
2e+30,-1.3733e+13,2.67357e+13,2.92616e+12,164338,-91957.5,-297560,1.49156e-07,-2.42247e-06,-3.25769e-05
2e+30,-1.39227e+13,3.60396e+13,-4.61094e+12,164502,-86550.7,293565,2.50413e-05,-4.76012e-05,1.27043e-06
2e+30,-1.45227e+13,2.86598e+13,-3.56005e+13,76036.2,-92857.4,34525.9,2.08162e-05,-5.42506e-05,5.87324e-05
