m,x,y,z,vx,vy,vz,ax,ay,az
1e+08,-0.0252219,-0.0173452,-0.0207248,-3.0872e-11,-2.66939e-11,-2.70716e-11,-3.08954e-23,-1.27573e-23,-1.69523e-23
1e+08,0.00427639,-0.0440091,0.0344897,4.43763e-12,-1.12523e-11,3.25003e-12,1.81087e-23,-9.03056e-24,-1.81027e-23
1e+08,0.015798,-0.00916158,-0.0249788,-2.41167e-11,-2.198e-11,-9.86117e-12,1.12812e-23,8.94932e-24,1.13286e-23
1e+08,-0.0158501,0.0429203,-0.0123187,-4.33788e-12,1.35313e-11,9.79197e-12,-2.06693e-23,-9.73248e-24,1.58478e-23
1e+08,0.0243352,0.0434289,0.032232,-3.67802e-12,1.42249e-11,-1.02665e-11,-2.03287e-23,6.7459e-24,2.30012e-23
1e+08,-0.0356816,-0.0195187,-0.0366486,1.40233e-11,-1.38593e-11,-1.74411e-11,-1.34134e-23,-1.12467e-23,-1.08903e-23
1e+08,0.0344092,0.0410321,0.0258815,3.07045e-12,-9.03539e-12,1.7558e-13,-2.37796e-23,-1.68219e-23,-1.58751e-23
1e+08,0.0289648,-0.0362441,0.00578534,1.1215e-11,1.95605e-12,3.91214e-12,1.29854e-23,7.59558e-25,8.02098e-24
1e+08,0.0378105,-0.0384087,0.019298,9.93425e-13,-7.65337e-12,1.5584e-12,-2.67585e-24,-2.36424e-24,1.39128e-23
1e+08,0.0437353,0.0358032,0.00541558,-6.85046e-12,-3.27834e-12,1.6397e-11,2.40529e-23,-2.15916e-23,8.20366e-24
1e+08,-0.0289845,-0.0222742,0.0282636,-2.2982e-12,8.05136e-12,-1.97897e-12,-2.63377e-23,-1.37247e-23,4.97707e-24
1e+08,-0.00692187,-0.00942741,-0.0217721,-5.81555e-12,-5.3818e-12,1.32261e-11,1.21498e-23,2.37423e-23,2.37021e-23
1e+08,0.0203785,-0.0282418,-0.0334887,-2.61958e-11,2.4545e-12,1.22482e-12,-2.6335e-23,3.28724e-24,-1.31718e-23
1e+08,-0.028368,-0.0226596,0.00209499,-1.60924e-11,-2.89041e-11,3.1126e-11,1.2894e-23,1.20944e-23,-1.35395e-23
1e+08,-0.0471814,0.0122019,0.0420499,1.33094e-11,-8.13733e-12,-8.76576e-12,-1.66324e-23,2.1624e-23,-1.64902e-23
1e+08,-0.0279081,0.00810161,-0.0374405,3.56512e-12,-1.57448e-12,-4.52789e-12,3.60487e-23,2.32657e-23,-1.58529e-23
1e+08,-0.00383703,-0.0401822,0.00212263,-8.72551e-12,6.50577e-12,3.35508e-12,1.20738e-23,2.17244e-23,2.26106e-24
1e+08,-0.00140359,0.0467468,0.0160314,3.54675e-12,-1.55047e-11,1.69712e-11,1.14922e-23,-2.21859e-23,1.06049e-23
