m,x,y,z,vx,vy,vz,ax,ay,az
1e+08,0.0445872,0.0304562,0.0421949,-1.64203e-11,-1.93241e-11,-3.66563e-11,1.82102e-23,-2.00015e-23,1.23925e-25
1e+08,0.0345314,0.0358652,-0.0402097,7.42468e-14,8.4637e-13,8.23952e-12,-1.89987e-23,-3.38328e-24,2.60224e-24
1e+08,0.0404424,-0.0482105,-0.0103594,-2.07121e-11,-1.12383e-11,-6.25246e-12,2.23126e-24,-4.76636e-24,7.96502e-24
1e+08,0.0195007,-0.0336692,-0.0443611,3.65913e-12,9.61366e-12,2.27918e-12,-3.47466e-24,1.95209e-23,9.90784e-24
1e+08,0.0242603,-0.0122552,0.0351549,-4.62612e-12,4.11547e-12,-7.22242e-12,1.76698e-23,2.69756e-23,2.257e-23
1e+08,0.0285289,0.0320509,0.0424071,9.69089e-12,-1.34485e-11,-2.43617e-11,-2.20737e-23,3.15325e-23,-1.6399e-23
1e+08,-0.0202246,0.0157526,-0.00202975,-6.2904e-12,1.10111e-12,2.65807e-12,1.05856e-23,1.08308e-23,-1.02913e-23
1e+08,-0.0170253,-0.00898804,-0.00259729,9.13954e-12,-1.51548e-13,-3.66764e-13,-1.08527e-24,6.69933e-24,-1.29386e-23
1e+08,-0.0151366,0.0150961,-0.0119269,-4.39827e-12,-1.10191e-11,-6.96837e-13,-1.43793e-23,2.48156e-23,-3.55331e-24
1e+08,0.00492547,0.0127958,-0.0337693,-6.37128e-12,-6.57577e-12,5.61292e-12,-6.18691e-24,-1.11791e-23,1.22021e-23
1e+08,0.0211426,0.00230197,-0.0198567,-5.45246e-13,-9.87919e-13,9.15844e-12,-2.40353e-23,-1.78818e-23,6.99936e-24
1e+08,-0.0122709,0.00602964,-0.00798554,-8.21856e-12,-1.94394e-12,2.64767e-12,-2.72453e-23,1.36801e-23,-4.74384e-24
1e+08,0.0120419,-0.0173824,-0.0456424,-3.59728e-12,4.14371e-13,1.0148e-12,-1.7116e-23,2.00655e-23,-1.3834e-23
1e+08,0.019182,-0.0144105,0.0201646,9.54786e-12,-9.70054e-12,1.77137e-11,-1.46943e-23,7.30267e-24,2.16413e-23
1e+08,0.0270135,0.0104807,-0.00135411,1.23729e-11,-7.95508e-12,-1.08138e-11,-1.8198e-23,2.28263e-23,-1.89942e-23
1e+08,-0.0125729,-0.0159681,0.0395363,-1.43472e-13,-1.16199e-12,-7.61267e-13,9.99175e-24,-1.79648e-23,2.46605e-23
1e+08,0.00640284,0.00955252,0.0131531,-6.5679e-12,1.4523e-12,1.25027e-12,-1.27653e-23,2.65331e-23,2.02138e-23
1e+08,0.0181271,-0.0428504,0.0258177,-2.15514e-12,-1.03074e-11,7.26852e-12,5.4995e-24,7.32383e-24,4.39527e-24
1e+08,-0.0143079,-0.0362962,0.0453097,2.52969e-11,-3.55289e-12,7.26284e-12,1.02578e-23,1.28701e-23,-9.88078e-24
1e+08,0.0402698,0.0416628,-0.0256319,-1.49491e-12,6.77305e-13,1.27686e-12,7.0455e-24,-1.30176e-23,-1.97462e-23
1e+08,-0.00756584,0.0392906,0.0197082,-1.93317e-12,-8.46311e-12,-5.18524e-13,2.54782e-23,-4.00375e-24,-3.63564e-24
1e+08,0.0155353,-0.0409736,0.00680143,5.11899e-12,-3.98863e-12,5.80255e-12,2.78322e-23,8.02564e-24,-1.25313e-23
1e+08,-0.006155,-0.00400371,-0.0235969,-2.51575e-12,-8.59363e-12,-7.71261e-12,1.54178e-23,2.2106e-23,-1.29059e-23
1e+08,0.0115665,-0.0300214,-0.0142607,1.49697e-11,1.32004e-11,6.97411e-13,-2.23057e-23,2.73588e-23,1.60649e-23
1e+08,-0.0170201,-0.0120583,-0.0312187,8.15248e-12,-4.77474e-12,4.36565e-12,-1.46253e-23,-2.42733e-23,-1.81637e-23
1e+08,-0.00826848,-0.0146329,-0.0119875,1.39434e-12,-3.87074e-12,-5.36838e-12,-2.634e-23,-2.85132e-24,1.73266e-23
1e+08,-0.0320921,0.028438,-0.0135458,-1.97604e-11,2.53179e-12,-1.80689e-12,3.61797e-24,-2.36493e-23,-2.03989e-23
1e+08,0.0100729,-0.00904879,0.00859653,-1.08195e-11,1.57193e-11,-4.91064e-13,3.06083e-23,3.53163e-24,-1.26564e-23
1e+08,0.0025459,0.0430008,0.045636,2.23235e-12,1.9879e-11,-1.45785e-12,-2.08084e-23,-8.11871e-24,4.17765e-24
1e+08,-0.014651,0.0456829,0.00445926,2.00107e-12,8.77832e-12,2.80193e-12,-1.43358e-23,1.89512e-23,-1.07817e-23
1e+08,0.0374024,0.025614,-0.0232296,-1.72809e-11,-3.42316e-11,-6.98954e-12,1.85022e-23,-8.34821e-24,7.16451e-24
1e+08,0.0156168,-0.037698,-0.0029709,-2.48348e-12,2.41111e-12,7.37576e-12,4.29837e-24,6.67783e-24,1.79378e-23
1e+08,-0.0210695,0.0421691,0.0287722,7.41542e-13,-6.41776e-12,1.55226e-12,2.34578e-23,-2.2257e-23,1.4496e-23
1e+08,-0.00876595,0.0464411,-0.0281315,8.63824e-12,-1.39461e-12,1.92845e-11,-1.3867e-23,5.09411e-24,1.84904e-23
1e+08,0.0208811,0.016801,0.0442781,-4.39007e-12,2.39455e-11,-1.39176e-11,3.01086e-23,1.47781e-23,2.14298e-23
1e+08,0.0191316,-0.00689059,-0.0109817,2.36246e-11,-1.38805e-11,-1.07225e-10,2.10584e-23,-2.17275e-23,1.6918e-23
1e+08,0.0214544,0.0461323,0.0463539,-4.57201e-12,-9.15605e-12,5.9494e-12,1.88144e-23,-1.7719e-23,2.63219e-23
1e+08,0.00763853,0.0193852,-0.03268,-3.88924e-12,3.79307e-12,-8.18569e-12,-1.6093e-23,2.05715e-24,-1.52323e-23
1e+08,-0.0394792,-0.0383453,-0.045422,-7.66225e-13,4.28745e-12,1.12306e-11,7.75092e-24,-1.17454e-23,-4.20568e-25
1e+08,-0.027327,0.0132026,-0.0359073,-3.4365e-13,4.0129e-12,-5.68252e-12,1.22177e-23,8.05651e-24,-1.89868e-23
1e+08,-0.0452985,0.0288027,-0.0363909,4.88544e-12,-2.37889e-12,8.67754e-12,-1.65111e-24,-9.072e-24,-3.40671e-24
