m,x,y,z,vx,vy,vz,ax,ay,az
1e+08,0.00488654,0.0479297,-0.000457957,-2.42183e-11,-3.01979e-11,-2.92696e-11,1.63978e-23,2.5031e-24,-1.47055e-23
1e+08,-0.0343092,-0.0365097,-0.0292393,4.76595e-12,-1.31354e-11,3.45947e-12,-1.14778e-24,1.44298e-23,2.43651e-23
1e+08,-0.0421384,-0.0068348,0.0482095,-2.5618e-11,-2.18989e-11,-1.01413e-11,1.88538e-23,8.8192e-24,2.10788e-23
1e+08,-0.0147427,0.0149401,0.000276799,2.39793e-13,1.47629e-11,1.12074e-11,-2.05948e-24,-2.57375e-23,-3.3717e-23
1e+08,0.0259408,0.0099192,-0.0384324,2.22352e-12,1.32188e-11,-1.26312e-11,2.17853e-23,5.28799e-24,1.81275e-23
1e+08,-0.0425294,-0.0256847,-0.0367282,1.86368e-11,-9.41068e-12,-1.22769e-11,1.74436e-23,1.82721e-23,2.92745e-23
1e+08,-0.00982475,0.0284125,0.0296287,5.99027e-12,-8.64102e-12,1.25691e-12,-8.64926e-25,-2.29756e-24,9.56306e-24
1e+08,-0.0244949,0.0380624,-0.0138957,1.36372e-11,1.62287e-12,3.2058e-12,-2.63607e-23,1.09462e-23,1.1977e-23
1e+08,-0.031542,0.0469958,-0.0442389,-1.21633e-12,-6.51192e-12,2.12324e-12,-5.7692e-24,2.68365e-23,7.57056e-24
1e+08,0.00853409,-0.00489044,0.00181523,-1.03384e-11,-4.52569e-12,1.53976e-11,-2.17994e-23,-2.06213e-23,-1.00547e-23
1e+08,-0.0345805,0.000496752,0.00583559,-2.2311e-12,4.41294e-12,-1.40944e-12,-1.85752e-23,2.00074e-23,3.05526e-23
1e+08,-0.039821,0.0346431,0.0336029,-7.2516e-12,9.02392e-14,1.30216e-11,8.40319e-24,-1.86447e-23,-1.25746e-23
1e+08,0.0211527,0.0169748,-0.0260021,-2.43007e-11,4.64997e-12,4.36251e-13,6.75839e-24,1.76289e-23,2.37275e-23
1e+08,-0.0116252,-0.0328809,-0.0454775,-1.4312e-11,-2.95734e-11,2.7454e-11,-1.70309e-23,5.94445e-25,4.66993e-24
1e+08,-0.0358244,-0.0410287,-0.0364684,1.68273e-11,-4.74292e-12,-8.59633e-12,-1.98925e-23,-7.75834e-24,-1.86605e-23
1e+08,0.00651999,0.0335305,-0.0491127,4.54978e-12,-3.16422e-12,-2.15439e-11,2.34932e-23,-1.82848e-23,-1.65682e-23
1e+08,-0.00423176,-0.0237907,0.0321421,-8.86184e-12,5.57852e-12,2.6997e-12,1.00832e-23,1.49795e-26,-2.2198e-23
1e+08,-0.021992,0.00380658,-0.0125214,6.68673e-12,-1.19496e-11,1.93222e-11,2.32028e-23,1.54924e-23,1.41589e-23
1e+08,-0.000672861,0.00812916,-0.0301702,3.26277e-11,2.76196e-12,3.01042e-12,2.16949e-23,-1.56271e-23,1.22104e-23
1e+08,0.0204139,0.0428226,0.0351545,-1.15727e-11,7.43899e-12,2.96021e-12,9.78668e-24,-6.28478e-24,-2.5515e-23
